S. No. (Col.1),Crime Head (Col.2),Persons Arrested - Male (Col.3),Persons Arrested - Female (Col.4),Persons Arrested - Total (Col.5),Persons Chargesheeted - Male (Col.6),Persons Chargesheeted - Female (Col.7),Persons Chargesheeted - Total (Col.8),Persons Convicted - Male (Col.9),Persons Convicted - Female (Col.10),Persons Convicted - Total (Col.11),Persons Acquitted - Male (Col.12),Persons Acquitted - Female (Col.13),Persons Acquitted - Total (Col.14),Persons Discharged - Male (Col.15),Persons Discharged - Female (Col.16),Persons Discharged - Total (Col.17)
1,Andhra Pradesh,2078,103,2181,1409,76,1485,37,0,37,835,38,873,4,0,4
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0
4,Bihar,6947,152,7099,6363,86,6449,319,4,323,1338,12,1350,0,0,0
5,Chhattisgarh,395,15,410,419,15,434,105,6,111,112,1,113,3,0,3
6,Goa,5,1,6,6,2,8,1,0,1,5,0,5,1,0,1
7,Gujarat,3395,187,3582,3251,187,3438,41,0,41,787,28,815,0,0,0
8,Haryana,897,15,912,880,14,894,53,0,53,411,9,420,0,0,0
9,Himachal Pradesh,143,33,176,147,30,177,1,0,1,56,6,62,0,0,0
10,Jammu & Kashmir,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
11,Jharkhand,570,16,586,368,0,368,89,0,89,136,0,136,1,0,1
12,Karnataka,3398,240,3638,3065,189,3254,27,0,27,1937,50,1987,5,1,6
13,Kerala,720,19,739,555,8,563,21,0,21,244,3,247,1,0,1
14,Madhya Pradesh,8168,179,8347,8115,179,8294,1629,13,1642,3443,43,3486,16,4,20
15,Maharashtra,4380,229,4609,4242,194,4436,197,4,201,2827,81,2908,46,0,46
16,Manipur,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0
17,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Odisha,1964,22,1986,1910,26,1936,67,0,67,1611,17,1628,0,0,0
21,Punjab,214,11,225,161,6,167,21,0,21,71,2,73,0,0,0
22,Rajasthan,4548,86,4634,4508,86,4594,873,4,877,1196,35,1231,42,3,45
23,Sikkim,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0
24,Tamil Nadu,2829,228,3057,2278,117,2395,140,4,144,2271,134,2405,0,0,0
25,Telangana,1452,61,1513,1039,52,1091,38,0,38,466,15,481,0,0,0
26,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,32770,237,33007,25432,212,25644,3258,18,3276,2775,10,2785,22,10,32
28,Uttarakhand,65,6,71,61,6,67,31,0,31,22,1,23,1,0,1
29,West Bengal,140,0,140,162,0,162,0,0,0,48,1,49,0,0,0
Total (States),Total (States),75085,1840,76925,64378,1485,65863,6948,53,7001,20593,486,21079,142,18,160
30,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,60,4,64,50,1,51,0,0,0,8,0,8,2,0,2
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,9,0,9,10,0,10,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),69,4,73,60,1,61,0,0,0,8,0,8,2,0,2
Total (All-India),Total (All-India),75154,1844,76998,64438,1486,65924,6948,53,7001,20601,486,21087,144,18,162
