S. No. (Col.1),State/UT (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported during the Year (Col.4),Total Cases for Investigation (Col.5) = (Col.3+4),Cases Withdrawn by Govt. (Col.6),Cases Transferred to other PS/ Magistrate (Col.7),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.8),Final Report - True but Insufficient Evidence (Col.9),Final Report - False (Col.10),Final Report - Mistake of Fact (Col.11),Final Report - Non-Cognizable (Col.12),Final Report - Total (Col.13) = (Col.9+ Col.10 + Col.11+ Col.12),Cases in which Chargesheets were Submitted (Col.14),Total Cases Disposed off by Police (Col.15) = (Col. 7+8+ Col.13+ Col.14),Cases Pending Investigation at the End of the Year (Col.16) = (Col. 5 - (Col.6 + Col.15)),Chargesheeting Rate (Col.17) = (Col.14/ Col.15) * 100,Pendency Percentage (Col.18) = (Col.16/ (Col.5)) * 100
1,Andhra Pradesh,1298,2243,3541,0,1,0,73,249,18,13,353,1680,2034,1507,82.6,42.6
2,Arunachal Pradesh,1,2,3,0,0,0,0,0,0,0,0,3,3,0,100,0
3,Assam,1,6,7,0,0,0,1,0,0,0,1,3,4,3,75,42.9
4,Bihar,77,272,349,0,0,0,1,2,0,5,8,196,204,145,96.1,41.5
5,Chhattisgarh,66,902,968,0,0,0,38,11,15,0,64,846,910,58,93,6
6,Goa,39,43,82,0,0,0,8,0,1,0,9,30,39,43,76.9,52.4
7,Gujarat,29,496,525,0,0,0,111,0,0,0,111,316,427,98,74,18.7
8,Haryana,62,349,411,0,0,0,91,70,0,0,161,204,365,46,55.9,11.2
9,Himachal Pradesh,35,233,268,0,0,0,17,8,0,0,25,191,216,52,88.4,19.4
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
11,Jharkhand,6,56,62,0,0,0,0,0,0,0,0,1,1,61,100,98.4
12,Karnataka,388,818,1206,0,2,0,52,57,12,0,121,525,648,558,81,46.3
13,Kerala,256,571,827,0,1,0,30,18,0,0,48,520,569,258,91.4,31.2
14,Madhya Pradesh,140,3877,4017,0,0,0,14,12,48,67,141,3754,3895,122,96.4,3
15,Maharashtra,3515,4694,8209,1,4,0,945,25,27,19,1016,2925,3945,4263,74.1,51.9
16,Manipur,14,6,20,0,0,0,2,0,0,0,2,8,10,10,80,50
17,Meghalaya,5,2,7,0,0,0,0,0,0,0,0,0,0,7,NA,100
18,Mizoram,2,15,17,0,0,0,0,0,0,0,0,15,15,2,100,11.8
19,Nagaland,0,3,3,0,0,0,0,0,0,0,0,2,2,1,100,33.3
20,Odisha,138,229,367,0,0,0,24,15,0,0,39,218,257,110,84.8,30
21,Punjab,60,91,151,0,0,0,13,6,2,0,21,63,84,67,75,44.4
22,Rajasthan,67,652,719,0,0,0,73,135,104,6,318,352,670,49,52.5,6.8
23,Sikkim,2,4,6,0,0,0,0,0,0,0,0,4,4,2,100,33.3
24,Tamil Nadu,1201,2895,4096,0,0,0,135,0,69,0,204,2187,2391,1705,91.5,41.6
25,Telangana,630,1382,2012,0,5,0,285,19,14,0,318,827,1150,862,71.9,42.8
26,Tripura,6,10,16,0,0,0,2,0,1,0,3,9,12,4,75,25
27,Uttar Pradesh,55,621,676,0,0,0,103,5,0,0,108,478,586,90,81.6,13.3
28,Uttarakhand,2,1,3,0,0,0,1,0,0,0,1,1,2,1,50,33.3
29,West Bengal,89,184,273,0,1,0,19,0,0,0,19,138,158,115,87.3,42.1
Total (States),Total (States),8184,20657,28841,1,14,0,2038,632,311,110,3091,15496,18601,10239,83.3,35.5
30,A & N Islands,3,4,7,0,0,0,0,0,0,0,0,3,3,4,100,57.1
31,Chandigarh,8,48,56,0,0,0,14,0,1,0,15,12,27,29,44.4,51.8
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
34,Delhi UT,969,685,1654,0,0,0,177,0,2,0,179,368,547,1107,67.3,66.9
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
36,Puducherry,1,16,17,0,0,0,2,0,0,0,2,12,14,3,85.7,17.6
Total (UTs),Total (UTs),981,753,1734,0,0,0,193,0,3,0,196,395,591,1143,66.8,65.9
Total (All India),Total (All India),9165,21410,30575,1,14,0,2231,632,314,110,3287,15891,19192,11382,82.8,37.2
