Category,Quantity of various Drugs,Total Drug seized (rounded to nearest Kg.),Number of cases registered,Number of Persons Arrested
A. Narcotics Drugs,1. Opium,2251,933,1228
A. Narcotics Drugs,2. Morphine,28,62,71
A. Narcotics Drugs,3. Heroin,1675,4565,5816
A. Narcotics Drugs,4. Ganja,294347,14401,18650
A. Narcotics Drugs,5. Hashish,2805,2567,2904
A. Narcotics Drugs,6. Cocaine,28,81,111
B. Psychotropic Substances,1. Methaqualone,24107,8,22
B. Psychotropic Substances,2. Ephedrine/Pseudo Ephedrine,21272,17,26
B. Psychotropic Substances,3. L.S.D. (in grams),"13.24 Grams, 343 Blots, 12658 Tablets",11,11
B. Psychotropic Substances,4. ATS,1687,20,37
B. Psychotropic Substances,5. Ketamine,68.06,7,15
C. Medicinal Drugs,1. Tablets (In Numbers),7961039,2046,2238
C. Medicinal Drugs,2. Bottle Syrup (Numbers),902600,428,553
D. Drug Precursor,1. Acetic Anhydride (In Kg),2661,1,1
E. Others,Others,NA,NA,NA
Grand Total,Grand Total,NA,25147,31683
