S. No. (Col.1),Category (Col.2),State/UT (Col.3),Disposal during Investigation Stage/Disposal by Police - Cases Pending Investigation from Previous Year (Col.4),Disposal during Investigation Stage/Disposal by Police - Cases Reported during the Year (Col.5),Disposal during Investigation Stage/Disposal by Police - Total Cases for Investigation (Col.6) = (Col.4+Col.5),Disposal during Investigation Stage/Disposal by Police - Cases not Investigated or Investigation Dropped (Col.7),Disposal during Investigation Stage/Disposal by Police - Final Report - True but Insufficient Evidence (Col.8),"Disposal during Investigation Stage/Disposal by Police - Final Report - False, Mistake of Fact or Non-Cognizible or Civil in Nature (Col.9)",Disposal during Investigation Stage/Disposal by Police - Final Report - Total (Col.10) = (Col.8 + Col.9),Disposal during Investigation Stage/Disposal by Police - Cases Chargesheeted (Col.11),Disposal during Investigation Stage/Disposal by Police - Cases Pending Investigation at the End of the Year * (Col.12),Disposal during Investigation Stage/Disposal by Police - Percentage of Cases Chargesheeted To Total Cases Investigated (Col.13),Disposal during Investigation Stage/Disposal by Police - Pendency Percentage (Col.14) = (Col.11/ Col.6) * 100
1,State,Andhra Pradesh,284,164,448,0,80,0,80,148,220,64.9,49.1
2,State,Arunachal Pradesh,45,14,59,0,6,6,12,3,44,20,74.6
3,State,Assam,76,23,99,0,2,0,2,2,95,50,96
4,State,Bihar,268,164,432,0,0,0,0,118,314,100,72.7
5,State,Chhattisgarh,81,61,142,0,0,0,0,44,98,100,69
6,State,Goa,52,11,63,0,0,0,0,1,62,100,98.4
7,State,Gujarat,425,258,683,0,1,3,4,129,550,97,80.5
8,State,Haryana,124,139,263,0,7,2,9,159,95,94.6,36.1
9,State,Himachal Pradesh,178,28,206,0,10,4,14,26,166,65,80.6
10,State,Jammu & Kashmir,298,55,353,1,0,1,1,30,321,93.8,90.9
11,State,Jharkhand,73,119,192,0,1,12,13,91,88,87.5,45.8
12,State,Karnataka,754,25,779,20,48,15,63,201,495,70.8,63.5
13,State,Kerala,580,430,1010,0,54,19,73,65,872,47.1,86.3
14,State,Madhya Pradesh,340,402,742,0,0,0,0,415,327,100,44.1
15,State,Maharashtra,993,1016,2009,0,20,5,25,987,997,97.5,49.6
16,State,Manipur,18,0,18,0,0,3,3,0,15,0,83.3
17,State,Meghalaya,7,0,7,0,0,0,0,0,7,NA,100
18,State,Mizoram,10,5,15,0,0,0,0,9,6,100,40
19,State,Nagaland,20,10,30,0,5,0,5,5,20,50,66.7
20,State,Odisha,756,569,1325,0,11,12,23,348,954,93.8,72
21,State,Punjab,162,171,333,9,17,8,25,82,217,70.7,65.2
22,State,Rajasthan,1502,387,1889,0,89,18,107,284,1498,72.6,79.3
23,State,Sikkim,41,14,55,0,0,0,0,1,54,100,98.2
24,State,Tamil Nadu,179,170,349,0,79,0,79,129,141,62,40.4
25,State,Telangana,206,89,295,0,125,0,125,114,56,47.7,19
26,State,Tripura,10,2,12,0,1,0,1,1,10,50,83.3
27,State,Uttar Pradesh,44,30,74,1,0,0,0,30,43,96.8,58.1
28,State,Uttarakhand,8,28,36,0,2,1,3,19,14,86.4,38.9
29,State,West Bengal,30,16,46,0,1,1,2,7,37,77.8,80.4
Total (States),State,Total (States),7564,4400,11964,31,559,110,669,3448,7816,83.1,65.3
30,UT,A & N Islands,18,3,21,0,0,0,0,5,16,100,76.2
31,UT,Chandigarh,22,15,37,0,0,3,3,11,23,78.6,62.2
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,NA,NA
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,NA,NA
34,UT,Delhi UT,220,16,236,0,0,0,0,6,230,100,97.5
35,UT,Lakshadweep,3,0,3,0,0,0,0,0,3,NA,100
36,UT,Puducherry,19,5,24,2,0,0,0,3,19,60,79.2
Total (UTs),UT,Total (UTs),282,39,321,2,0,3,3,25,291,83.3,90.7
Total (All India),Total (All India),Total (All India),7846,4439,12285,33,559,113,672,3473,8107,83.1,66
