S. No. (Col.1),State/UT (Col.2),Murder (Sec 302 IPC) (Col.3) - I,Murder (Sec 302 IPC) (Col.4) - V,Murder (Sec 302 IPC) (Col.5) - R,C.H. Not Amounting to Murder (Sec 304 IPC) (Col.6) - I,C.H. Not Amounting to Murder (Sec 304 IPC) (Col.7) - V,C.H. Not Amounting to Murder (Sec 304 IPC) (Col.8) - R,Attempt to Commit Murder (Sec 307 IPC) (Col.9) - I,Attempt to Commit Murder (Sec 307 IPC) (Col.10) - V,Attempt to Commit Murder (Sec 307 IPC) (Col.11) - R,Attempt to Commit Culpable Homicide (Sec 308 IPC) (Col.12) - I,Attempt to Commit Culpable Homicide (Sec 308 IPC) (Col.13) - V,Attempt to Commit Culpable Homicide (Sec 308 IPC) (Col.14) - R,"Grievous Hurt (Sec.325, 326, 326A & 326B IPC) (Col.15) - I","Grievous Hurt (Sec.325, 326, 326A & 326B IPC) (Col.16) - V","Grievous Hurt (Sec.325, 326, 326A & 326B IPC) (Col.17) - R",Rape (Sec. 376 IPC) (Col.18) - I,Rape (Sec. 376 IPC) (Col.19) - V,Rape (Sec. 376 IPC) (Col.20) - R,Extortion (Sec.384 & 385 -389 IPC) (Col.21) - I,Extortion (Sec.384 & 385 -389 IPC) (Col.22) - V,Extortion (Sec.384 & 385 -389 IPC) (Col.23) - R,Robbery (Sec 392 to 394 IPC) (Col.24) - I,Robbery (Sec 392 to 394 IPC) (Col.25) - V,Robbery (Sec 392 to 394 IPC) (Col.26) - R,Dacoity (Sec 395 to 398 IPC) (Col.27) - I,Dacoity (Sec 395 to 398 IPC) (Col.28) - V,Dacoity (Sec 395 to 398 IPC) (Col.29) - R,Cheating (Section 420 IPC) (Col.30) - I,Cheating (Section 420 IPC) (Col.31) - V,Cheating (Section 420 IPC) (Col.32) - R,Other IPC Crimes * (Col.33) - I,Other IPC Crimes * (Col.34) - V,Other IPC Crimes * (Col.35) - R,Total** (Col.36) - I,Total** (Col.37) - V,Total** (Col.38) - R
1,Andhra Pradesh,57,57,1.2,6,6,0.1,40,40,0.8,0,0,0,53,53,1.1,1,1,0,20,20,0.4,22,22,0.5,3,3,0.1,209,211,4.3,1832,1842,37.9,2243,2255,46.4
2,Arunachal Pradesh,1,1,1.6,0,0,0,0,0,0,0,0,0,1,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.1
3,Assam,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1,0,0,0,6,6,0.3
4,Bihar,13,13,0.2,0,0,0,86,86,1.1,29,29,0.4,35,35,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.1,101,101,1.3,272,272,3.5
5,Chhattisgarh,54,55,2.7,1,1,0,12,12,0.6,0,0,0,21,21,1,4,4,0.2,1,1,0,14,14,0.7,2,2,0.1,41,46,2,752,755,37.5,902,911,45
6,Goa,5,5,3.1,0,0,0,2,2,1.2,0,0,0,3,4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,20.2,43,45,26.3
7,Gujarat,27,27,0.6,2,2,0,4,4,0.1,0,0,0,8,8,0.2,1,1,0,2,2,0,27,27,0.6,2,3,0,22,22,0.5,401,401,8.4,496,497,10.4
8,Haryana,29,29,1.3,3,3,0.1,4,4,0.2,0,0,0,11,11,0.5,3,3,0.1,0,0,0,2,2,0.1,0,0,0,8,8,0.4,289,289,13.2,349,349,15.9
9,Himachal Pradesh,10,11,1.4,0,0,0,1,1,0.1,0,0,0,15,16,2.1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.4,204,206,29,233,237,33.1
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jharkhand,12,12,0.5,0,0,0,2,2,0.1,0,0,0,0,0,0,0,0,0,5,5,0.2,0,0,0,0,0,0,1,1,0,36,36,1.5,56,56,2.4
12,Karnataka,49,50,0.8,4,4,0.1,26,27,0.4,4,4,0.1,27,33,0.5,2,2,0,2,2,0,125,126,2.2,3,3,0.1,83,83,1.4,493,548,8.5,818,882,14.1
13,Kerala,34,40,0.8,8,8,0.2,9,10,0.2,29,29,0.7,52,52,1.2,4,4,0.1,0,0,0,46,46,1.1,1,1,0,32,33,0.8,356,359,8.5,571,582,13.6
