S. No. (Col.1),State/UT (Col.2),Total Rape Cases (Col.3),Cases in which Offenders were known to the Victims - Number of Cases in which Offenders were known to the Victims (Total) (Col.4),Cases in which Offenders were known to the Victims - Grand Father/ Father/ Brother/ Son/etc. (Col.4A),Cases in which Offenders were known to the Victims - Close Family Members (Other than Col.5) (Col.4B),Cases in which Offenders were known to the Victims - Relatives (other than cols. 5 & 6) (Col.4C),Cases in which Offenders were known to the Victims - Neighbours (Col.4D),Cases in which Offenders were known to the Victims - Employer / Co-Workers (Col.4E),Cases in which Offenders were known to the Victims - Live In Partner/ Husband (Separated /Ex) (Col.4F),Cases in which Offenders were known to the Victims - Known Persons on Promise to Marry the Victim (Col.4G),Cases in which Offenders were known to the Victims - Other Known Persons (Col.4H),Offenders not known to Victims (Col.5),Percentage Share of Known Cases to Total Rape Cases (Col.6)
1,Andhra Pradesh,994,994,6,29,44,361,5,14,280,255,0,100
2,Arunachal Pradesh,92,83,2,9,7,29,0,4,3,29,9,90.2
3,Assam,1779,1779,9,12,20,985,2,32,605,114,0,100
4,Bihar,1008,981,0,5,122,380,53,12,383,26,27,97.3
5,Chhattisgarh,1626,1584,21,29,47,222,21,36,784,424,42,97.4
6,Goa,61,59,3,5,7,6,3,0,11,24,2,96.7
7,Gujarat,982,976,12,21,39,292,11,12,365,224,6,99.4
8,Haryana,1187,1172,25,19,44,549,35,22,109,369,15,98.7
9,Himachal Pradesh,252,251,6,2,2,43,7,3,84,104,1,99.6
10,Jammu & Kashmir,256,252,1,0,11,93,3,3,26,115,4,98.4
11,Jharkhand,1109,1072,0,6,74,585,26,37,334,10,37,96.7
12,Karnataka,1655,1642,16,39,87,463,37,7,379,614,13,99.2
13,Kerala,1656,1627,73,63,74,369,24,26,628,370,29,98.2
14,Madhya Pradesh,4882,4789,35,108,157,1115,47,43,1592,1692,93,98.1
15,Maharashtra,4189,4126,96,111,151,683,56,38,1422,1569,63,98.5
16,Manipur,55,55,1,3,7,9,0,1,18,16,0,100
17,Meghalaya,190,180,37,20,19,53,0,0,9,42,10,94.7
18,Mizoram,23,23,4,3,3,9,0,0,4,0,0,100
19,Nagaland,26,22,3,2,1,11,0,0,2,3,4,84.6
20,Odisha,1983,564,0,0,0,6,0,0,0,558,1419,28.4
21,Punjab,838,835,16,26,39,223,3,5,203,320,3,99.6
22,Rajasthan,3656,3626,147,139,269,704,46,30,587,1704,30,99.2
23,Sikkim,92,60,1,1,2,36,0,7,5,8,32,65.2
24,Tamil Nadu,319,317,0,9,45,92,10,0,138,23,2,99.4
25,Telangana,1278,1254,1,127,155,355,60,5,371,180,24,98.1
26,Tripura,207,207,0,7,15,102,3,0,54,26,0,100
27,Uttar Pradesh,4816,4803,27,154,441,1851,80,80,1195,975,13,99.7
28,Uttarakhand,336,320,2,1,0,118,1,2,80,116,16,95.2
29,West Bengal,1110,997,28,0,94,337,2,0,0,536,113,89.8
Total (States),Total (States),36657,34650,572,950,1976,10081,535,419,9671,10446,2007,94.5
30,A & N Islands,30,30,0,2,2,4,0,0,14,8,0,100
31,Chandigarh,68,64,2,1,7,12,1,1,11,29,4,94.1
32,D&N Haveli,14,14,0,0,0,10,0,4,0,0,0,100
33,Daman & Diu,12,12,0,0,0,0,0,0,0,12,0,100
34,Delhi,2155,2078,56,131,188,410,64,133,368,728,77,96.4
35,Lakshadweep,5,5,0,0,0,2,0,0,3,0,0,100
36,Puducherry,6,6,0,3,1,1,0,0,1,0,0,100
Total (UTs),Total (UTs),2290,2209,58,137,198,439,65,138,397,777,81,96.5
Total (All India),Total (All India),38947,36859,630,1087,2174,10520,600,557,10068,11223,2088,94.6
