S. No.,Category,State/UT,Year - 2014,Year - 2015,Year - 2016,Percentage State share to All India (2016),Rank Based on Incidence/ Percentage share (2016)
1,State,Andhra Pradesh,6,5,7,0.6,20
2,State,Arunachal Pradesh,1,3,1,0.1,28
3,State,Assam,3,12,8,0.7,19
4,State,Bihar,3,5,4,0.3,22
5,State,Chhattisgarh,1,2,4,0.3,23
6,State,Goa,77,69,80,6.5,4
7,State,Gujarat,7,6,11,0.9,17
8,State,Haryana,20,25,38,3.1,7
9,State,Himachal Pradesh,23,10,12,1,14
10,State,Jammu & Kashmir,7,15,12,1,15
11,State,Jharkhand,1,1,1,0.1,29
12,State,Karnataka,130,90,91,7.4,3
13,State,Kerala,18,9,34,2.8,8
14,State,Madhya Pradesh,3,3,2,0.2,24
15,State,Maharashtra,102,87,56,4.6,6
16,State,Manipur,3,4,2,0.2,25
17,State,Meghalaya,39,32,9,0.7,18
18,State,Mizoram,44,45,13,1.1,13
19,State,Nagaland,0,1,1,0.1,30
20,State,Odisha,4,1,2,0.2,26
21,State,Punjab,14,15,17,1.4,11
22,State,Rajasthan,3,4,2,0.2,27
23,State,Sikkim,0,0,0,0,NA
24,State,Tamil Nadu,48,50,64,5.2,5
25,State,Telangana,10,12,25,2,10
26,State,Tripura,20,6,17,1.4,12
27,State,Uttar Pradesh,14,9,12,1,16
28,State,Uttarakhand,0,5,1,0.1,31
29,State,West Bengal,689,597,520,42.4,1
Total (States),State,Total (States),1290,1123,1046,85.3,NA
30,UT,A & N Islands,1,0,0,0,NA
31,UT,Chandigarh,3,9,6,0.5,21
32,UT,D&N Haveli,0,0,0,0,NA
33,UT,Daman & Diu,0,0,0,0,NA
34,UT,Delhi,176,146,143,11.7,2
35,UT,Lakshadweep,0,0,0,0,NA
36,UT,Puducherry,3,0,31,2.5,9
Total (UTs),UT,Total (UTs),183,155,180,14.7,NA
Total (All-India),Total (All-India),Total (All-India),1473,1278,1226,100,NA
