S. No. (Col.1),State/UT (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases Sent for Trial During the Year (Col.4),Total Cases for Trial During the Year (Col.5) = (Col.3+4),No. of Cases Withdrawn by the Govt. (Col.6),No. of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in Which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Cases Disposed off by Courts (Col.12) = (Col.6+Col.7 +Col.8+Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 NA Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1,Andhra Pradesh,445,265,710,0,0,2,175,2,173,177,533,1.1,75.1
2,Arunachal Pradesh,12,0,12,0,0,0,1,1,0,1,11,100,91.7
3,Assam,0,1,1,0,0,0,0,0,0,0,1,NA,100
4,Bihar,247,22,269,0,0,0,11,5,6,11,258,45.5,95.9
5,Chhattisgarh,1161,393,1554,0,0,0,227,78,149,227,1327,34.4,85.4
6,Goa,13,6,19,0,0,0,4,1,3,4,15,25,78.9
7,Gujarat,1607,237,1844,0,0,0,110,1,109,110,1734,0.9,94
8,Haryana,0,0,0,0,0,0,0,0,0,0,0,NA,NA
9,Himachal Pradesh,9,1,10,0,0,0,0,0,0,0,10,NA,100
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,NA,NA
11,Jharkhand,678,170,848,0,0,14,70,34,36,84,764,48.6,90.1
12,Karnataka,1140,304,1444,0,0,0,190,0,190,190,1254,0,86.8
13,Kerala,428,133,561,0,0,0,49,4,45,49,512,8.2,91.3
14,Madhya Pradesh,4049,1795,5844,0,0,61,944,273,671,1005,4839,28.9,82.8
15,Maharashtra,2131,396,2527,0,0,4,259,21,238,263,2264,8.1,89.6
16,Manipur,1,1,2,0,0,0,0,0,0,0,2,NA,100
17,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,NA,NA
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,NA,NA
20,Odisha,2487,618,3105,1,0,0,317,18,299,318,2787,5.7,89.8
21,Punjab,0,0,0,0,0,0,0,0,0,0,0,NA,NA
22,Rajasthan,2704,538,3242,0,38,5,336,139,197,379,2863,41.4,88.3
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,NA,NA
24,Tamil Nadu,57,19,76,0,0,0,9,1,8,9,67,11.1,88.2
25,Telangana,500,229,729,0,0,2,156,12,144,158,571,7.7,78.3
26,Tripura,1,1,2,0,0,0,1,0,1,1,1,0,50
27,Uttar Pradesh,103,4,107,0,0,0,17,12,5,17,90,70.6,84.1
28,Uttarakhand,3,3,6,0,0,0,2,0,2,2,4,0,66.7
29,West Bengal,301,136,437,0,0,0,14,0,14,14,423,0,96.8
Total (States),Total (States),18077,5272,23349,1,38,88,2892,602,2290,3019,20330,20.8,87.1
30,A & N Islands,31,5,36,0,0,0,2,0,2,2,34,0,94.4
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,NA,NA
32,D&N Haveli,16,0,16,0,0,0,0,0,0,0,16,NA,100
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,NA,NA
34,Delhi,7,0,7,0,0,0,1,0,1,1,6,0,85.7
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,NA,NA
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Total (UTs),Total (UTs),54,5,59,0,0,0,3,0,3,3,56,0,94.9
Total (All-India),Total (All-India),18131,5277,23408,1,38,88,2895,602,2293,3022,20386,20.8,87.1
