SL. No.,Heads of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law or Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,0.4,86.9,12.7,97
2,Opium Act,0.3,65.8,33.9,98.1
3,Gambling Act ,Neg.,95.7,4.3,99.9
4,Excise Act,0.6,79.4,20,97.9
5,Prohibition Act,2.8,46.8,50.4,81
6,Explosives & Explosive Substances Act,2.6,50,47.4,71.8
7,Suppression of Immoral Traffic Act,0.1,97.9,2,99.7
8,Motor Vehicles Act,0.2,96.7,3.1,99.8
9,Prevention of Corruption Act,3.8,42.5,51,84
10,Customs Act,29.4,47.1,23.5,68.8
11,Indian Railways Act,1.2,97.1,1.7,95.7
12,Other Offences,1.5,96.2,2.3,89.9
13,Total,1.3,83.3,15.4,92.9
