SL. No.,Heads of Crime ,Number of Cases Reported During - 1976,Number of Cases Reported During - 1977,Number of Cases Reported During - 1978,Number of Cases Reported During - 1979,Number of Cases Reported During - 1980,Quinquennial average 1976 to 1980,Cases reported during the year 1981,Percentage Change in 1981 Over - Quinquennial Average,Percentage Change in 1981 Over - 1980
1,Total  IPC Cognizable Crime,37015,44008,44284,46351,55129,45357,61019,34.5,10.7
2,Murder ,586,864,718,812,1038,804,1228,52.7,18
3,Kidnapping & Abduction,376,329,597,493,482,455,527,15.8,9
4,Dacoity,222,285,288,359,455,322,613,90.4,34.7
5,Robbery,514,630,741,743,941,714,1057,48,12
6,Burglary,5720,6549,6218,6275,6434,6239,6720,7.7,4.4
7,Thefts,14444,16069,14148,15376,17093,15426,17516,13.5,2.5
8,Riots,2871,4903,5049,6195,8384,5480,9979,82.1,19
9,Criminal Breach of Trust,195,265,244,224,287,243,272,11.9,-5.2
10,Cheating ,260,219,292,259,292,264,285,8,-2.4
11,Counterfeiting,3,NA,3,2,2,2,15,650,650
12,Miscellaneous,11824,13895,15986,15613,19721,15408,22807,48,15.6
