SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Cases for Trial During the Year,Percentage of Cases in which Trials were Completed to Total Cases Under Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Conviction to Cases in which Trials were Completed
1,Arms Act,0.2,30,69.8,72.1
2,Opium Act,0.7,38.1,61.2,77
3,Gambling Act ,0.2,66.8,33,88.1
4,Excise Act,0.5,39.8,59.7,75.2
5,Prohibition Act,4.6,38.3,57.1,50.6
6,Explosives & Explosive Substances Act,1.6,24.6,73.8,58.4
7,Suppression of Immoral Traffic Act,1.7,76.2,22.1,94.1
8,Motor Vehicles Act,0.3,74.7,25,95.4
9,Prevention of Corruption Act,0.8,26.6,72.6,37.3
10,Customs Act,NA,50,50,41.2
11,Indian Railways Act,0.1,88.3,11.6,99.1
12,Other Offences,0.7,81.1,18.2,94.8
13,Total,1.2,65,33.8,88.5
