SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder ,48723,214,13969,6230,34540
2,Culpable Homicide Not Amounting to Murder,7456,69,1981,906,5406
3,Rape,11237,46,3156,1150,8035
4,Kidnapping & Abduction,23371,319,5182,1667,17870
5,Dacoity,36352,75,7055,2555,29222
6,Robbery,39663,403,8348,3531,30912
7,Burglary,175090,4672,43910,24478,126508
8,Thefts,419246,15326,109904,69495,294016
9,Riots,259504,16180,45597,16767,197727
10,Criminal Breach of Trust,47770,1070,8699,4250,38001
11,Cheating ,33509,1107,6075,2886,26327
12,Counterfeiting,750,24,110,44,616
13,Other IPC Offences,1009120,82391,251426,131572,675303
14,Total Cognizable Crimes Under IPC,2111791,121896,505412,265531,1484483
