SL. No.,Heads of Crime,Incidence - 1971,Volume - 1971,Incidence - 1976,Volume - 1976,Incidence - 1977,Volume - 1977,Incidence - 1978,Volume - 1978,Incidence - 1979,Volume - 1979,Incidence - 1980,Volume - 1980,Quinquennial Average 1976-1980 (Q.A.),Incidence - 1981,Volume - 1981,"Percentage Change in 1981 (+) Increase, (-) Decrease - Over - 1971","Percentage Change in 1981 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Change in 1981 (+) Increase, (-) Decrease - Over - 1980"
1,Total Cognizable Crime,952581,172.8,1093897,178.4,1267004,202.5,1344968,210.7,1336168,205.2,1368529,206.2,1282113,1385757,202.6,45.5,8.1,1.3
2,Murder ,16180,2.9,16673,2.7,18376,2.9,19314,3,20349,3.1,22149,3.3,19372,22727,3.3,40.5,17.3,2.6
3,Kidnapping & Abduction,9647,1.8,11250,1.8,12240,2,13616,2.1,13125,2,13595,2,12765,13833,2,43.4,8.4,1.8
4,Dacoity,11193,2,10910,1.8,12599,2,13195,2.1,14028,2.2,15194,2.3,13185,14626,2.1,30.7,1.9,-3.7
5,Robbery,18402,3.3,17974,2.9,22725,3.6,22923,3.6,22860,3.5,23493,3.5,21995,22996,3.4,25,4.6,-2.1
6,Burglary,165807,30.1,168655,27.5,193622,30.9,183991,28.8,168574,25.9,166695,25.1,176307,157540,23,-5,-10.6,-5.5
7,Thefts,335204,60.8,365138,59.5,432046,69,437187,68.5,430483,66.1,431036,65,419178,422059,61.7,25.9,0.7,-2.1
8,Riots,64114,11.6,63675,10.4,80449,12.9,96488,15.1,98896,15.2,106957,16.1,89293,110361,16.1,72.1,23.6,3.2
9,Criminal Breach of Trust,20270,3.7,23656,3.9,22868,3.7,23255,3.6,22016,3.4,20684,3.1,22496,20579,3,1.5,-8.5,-0.5
10,Cheating ,11412,2.1,19588,3.2,19623,3.1,19821,3.1,18370,2.8,17416,2.6,18964,17764,2.6,55.7,-6.3,2
11,Counterfeiting,641,0.1,887,0.1,784,0.1,636,0.1,525,0.1,830,0.1,732,1004,0.1,56.6,37.2,21
12,Other IPC Offences,299711,54.4,395491,64.5,451672,72.2,514542,80.6,526942,80.9,550480,83,487826,582265,94.3,94.3,19.4,5.8
