SL. No.,Heads of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Pending Trial at the End of the year
1,Arms Act,190822,320,57348,41348,133154
2,Opium Act,28643,205,10918,8409,17520
3,Gambling Act ,343464,716,229547,202316,113201
4,Excise Act,261902,1337,104204,78366,15636
5,Prohibition Act,600122,27522,229775,116216,242825
6,Explosives & Explosive Substances Act,4048,64,997,582,2987
7,Suppression of Immoral Traffic Act,19529,339,14869,13993,4321
8,Motor Vehicles Act,849384,2507,634391,605085,212486
9,Prevention of Corruption Act,786,6,209,78,571
10,Customs Act,34,NA,17,7,17
11,Indian Railways Act,44165,43,39007,38650,5115
12,Other Offences,1257549,9179,1020012,967071,228358
13,Total,3600448,42238,2341294,2072121,121691
