SL. No. ,Heads of Crime,Total Number of Cases for Investigation During the Year Including the Cases Carried over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Arms Act,77139,348,67016,9775,64958
2,Opium Act,19808,55,13028,6725,12782
3,Gambling Act ,244990,90,234386,10514,234145
4,Excise Act,134459,819,106736,26904,104530
5,Prohibition Act,731985,20326,342992,368667,277844
6,Explosives Act & Explosive Substances Act,4375,112,2187,2076,1570
7,Suppression of Immoral Traffic Act,16065,11,15727,327,15685
8,Motor Vehicles Act,694693,1394,671931,21368,670838
9,Prevention of Corruption Act,635,24,287,324,241
10,Customs Act,34,10,16,8,11
11,Indian Railways Act,42836,507,41601,728,39817
12,Other Offences,1094362,15816,1053122,25424,946382
13,Total,3061381,39512,2549029,472840,2368803
