SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder ,0.4,28.7,70.9,44.6
2,Culpable Homicide Not Amounting to Murder,0.9,26.6,72.5,45.7
3,Rape,0.4,28.1,71.5,36.4
4,Kidnapping & Abduction,1.4,22.2,76.4,32.2
5,Dacoity,0.2,19.4,80.4,36.2
6,Robbery,1,21.1,77.9,42.3
7,Burglary,2.7,25.1,72.2,55.8
8,Thefts,3.7,26.2,70.1,63.2
9,Riots,6.2,17.6,76.2,36.8
10,Criminal Breach of Trust,2.2,18.2,79.6,48.9
11,Cheating ,3.3,18.1,78.6,47.5
12,Counterfeiting,3.2,14.7,82.1,40
13,Other IPC Offences,8.2,24.9,66.9,52.3
14,Total Cognizable Crime,5.8,23.9,70.3,52.5
