SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder ,2.6,67.5,29.9,79.6
2,Culpable Homicide Not Amounting to Murder,3.9,66.5,29.6,74.5
3,Rape,9,63.3,27.7,84.8
4,Kidnapping & Abduction,21,51.3,27.7,67.1
5,Dacoity,4.6,60.6,34.8,60
6,Robbery,11.9,66.3,21.8,55.1
7,Burglary,4.3,78.7,17,35
8,Thefts,5.8,78.8,15.4,35.8
9,Riots,13.2,63.3,23.5,81.9
10,Criminal Breach of Trust,11.2,46.5,42.3,63.9
11,Cheating ,9.9,51.3,38.8,58.2
12,Counterfeiting,7.2,49.3,43.5,47.9
13,Other IPC Offences,8,69.4,22.6,86.5
14,Total Cognizable Crimes Under IPC,7.5,71.4,21.1,61.3
