SL. No.,Crime Heads,Total number of persons in custody during the stage of investigation,Number of Persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody during the stage of investigation
1,Arms Act,79723,9650,68758,12.1,86.2
2,Opium Act,19902,6620,13102,33.3,65.8
3,Gambling Act ,418840,17326,400771,4.1,95.7
4,Excise Act,137683,26541,110005,19.3,79.9
5,Prohibition Act,802300,459337,304388,57.2,37.9
6,Explosives & Explosive Substances Act,4494,1818,2095,40.4,46.6
7,Suppression of Immoral Traffic in Women & Girls Act,18034,929,16775,5.2,93
8,Motor Vehicles Act,695006,14382,679110,2.1,97.7
9,Prevention of Corruption Act,931,243,654,6.1,70.2
10,Customs Act,110,7,99,6.4,90
11,Indian Railways Act,46216,1140,44821,2.5,97
12,Other Offences Under Local & Special Laws,1225699,29109,1201880,2.4,98.1
13,Total,3448938,567102,2842458,16.4,82.4
