SL. No.,Crime Head,Number of Cases Reported During - 1991,Number of Cases Reported During - 1992,Percentage Change in 1992 Over 1991
1,Arms Act,169,96,-43.2
2,Narcotic Drugs & Psychotropic Substances Act,43,20,-53.5
3,Gambling Act,1477,828,-43.9
4,Excise Act,369,135,-63.4
5,Prohibition Act,2841,1385,-51.2
6,Explosive & Explosive Substances Act,13,13,0
7,Immoral Traffic (P) Act,283,95,-66.4
8,Indian Railways Act,16,15,-6.3
9,Registration of Foreigners Act,20,12,-40
10,Protection Of Civil Rights Act,15,3,-80
11,Indian Passport Act,0,0,NA
12,Essential Commodities Act,4,0,100
13,Terrorist & Disruptive Activites Act,4,0,100
14,Antiquity & Art Treasure Act,0,0,NA
15,Dowry Prohibition Act,13,11,-15.4
16,Other LSL Crimes,16876,4919,-70.9
17,Total Cognizable Crimes Under LSL,22143,7532,-66
