SL. No.,Year,Estimated Mid-Year Population* (In Lakhs)**,Incidences - Indian Penal Cade (IPC),Incidences - Local & Special Laws (LSL),Incidences - Total,Rate - Indian Penal Cade (IPC),Rate - Local & Special Laws (LSL),Rate - Total,Percentage of IPC Crimes to Total Cognizable Crimes
1,1982,7052,1353904,2970068,4323972,192,421.2,613.2,31.3
2,1983,7204,1349866,2921063,4270929,187.4,405.5,592.9,31.6
3,1984,7356,1358660,2916808,4275468,184.7,396.5,581.2,31.8
4,1985,7509,1384731,3096481,4481212,184.4,412.4,596.8,30.9
5,1986,7661,1405835,2984654,4390489,183.5,389.6,573.1,32
6,1987,7814,1406992,3589326,4996318,180.1,459.3,639.4,28.2
7,1988,7966,1440356,3765669,5206025,180.8,472.7,653.5,27.7
8,1989,8118,1529844,3847665,5377509,188.5,474,662.4,28.4
9,1990,8270,1604449,3293563,4898012,194,398.3,592.3,32.8
10,1991,8496,1678375,3370971,5049346,197.5,396.8,594.3,33.2
11,1992,8677,1689341,3558448,5247789,194.7,410.1,604.8,33.2
12,Percentage Change in 1992 Over 1982,23,24.8,19.8,21.4,1.4,-2.6,-1.4,2.9
13,Compound Growth Rate Per Annum,2.1,2.5,2.3,2.4,0.4,0.2,0.3,0.1
