SL. No.,State/UT,Rape,Kidnapping & Abduction,Dowry Deaths,Cruelty by Husband and Relatives,Molestation,Eveteasing,Total
1,Andhra Pradesh,763,531,424,1842,1773,1079,6412
2,Arunachal Pradesh,25,27,1,2,36,0,91
3,Assam,442,611,11,247,113,96,1520
4,Bihar,1019,267,170,315,151,24,1946
5,Goa,12,13,1,16,37,14,93
6,Gujarat,285,575,123,1224,852,1199,4258
7,Haryana,215,228,209,237,306,417,1612
8,Himachal Pradesh,83,147,18,119,233,9,609
9,Jammu & Kashmir,123,359,30,1,209,217,939
10,Karnataka,150,259,209,985,884,53,2540
11,Kerala,212,72,18,290,553,1,1146
12,Madhya Pradesh,2658,1052,353,1469,6291,601,12424
13,Maharashtra,961,965,727,6168,2778,352,11951
14,Manipur,17,111,0,2,20,10,160
15,Meghalaya,25,2,2,1,13,1,44
16,Mizoram,34,0,0,1,52,0,87
17,Nagaland,1,0,0,0,1,0,2
18,Orissa,302,202,152,257,799,106,1818
19,Punjab,61,101,101,33,17,1,314
20,Rajasthan,818,2434,250,1836,1740,15,7093
21,Sikkim,11,6,0,0,12,0,29
22,Tamil Nadu,232,467,75,294,635,680,2383
23,Tripura,73,55,3,31,122,0,284
24,Uttar Pradesh,1735,2218,1783,2329,2081,2727,12873
25,West Bengal,615,631,174,1920,384,120,3844
Total (States),Total (States),10872,11333,4834,19619,20092,7722,74472
26,A & N Islands,5,2,0,6,13,2,28
27,Chandigarh,15,19,1,8,9,30,82
28,D & N Haveli,1,1,0,4,5,0,11
29,Daman & Diu,1,1,0,2,0,0,4
30,Delhi,215,709,121,106,226,2303,3680
31,Lakshadweep,0,0,0,0,0,0,0
32,Pondicherry,3,12,6,5,40,694,760
Total (UTs),Total (UTs),240,744,128,131,293,3029,4565
Total (All -India),Total (All -India),11112,12077,4962,19750,20385,10751,79037
