SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Murder,86272,2971,89243,96.7,3.3
2,Attempt to Commit Murder,76070,1333,77403,9833,1.7
3,C.H. Not Amounting to Murder,9047,297,9344,96.8,3.2
4,Rape,16214,200,16414,98.8,1.2
5,Kidnapping & Abduction,28026,1118,29144,96.2,3.8
5,I) Of Women & Girls,17132,838,17970,95.3,4.7
5,II) Of Others,10894,280,11174,97.5,2.5
6,Dacoity,35845,226,3601,99.4,0.6
7,Preparation & Assembly for Dacoity,6483,6,6489,99.9,0.1
8,Robbery,32311,178,32489,99.5,0.5
9,Burglary,88132,1035,89167,98.8,1.2
10,Theft,223768,5591,229359,97.6,2.4
11,Riots,516980,18421,535401,96.6,3.4
12,Criminal Breach of Trust,16374,401,16775,97.6,2.4
13,Cheating,24460,569,25029,97.7,2.3
14,Counterfeiting,1058,10,1068,99.1,0.9
15,Other IPC Crimes,1295145,57503,1352648,95.7,4.3
16,Total Cognizable Crimes Under IPC,2456185,89859,2546044,96.5,3.5
