SL. No.,State/UT/City,Total Value of Property - Stolen,Total Value of Property - Recovery,Percentage Recovery
1,Andhra Pradesh,2452.3,1074.8,43.8
2,Arunachal Pradesh,129.2,40.4,31.3
3,Assam,1333.4,206.9,15.5
4,Bihar,1500.2,287.8,19.2
5,Goa,218,42,19.3
6,Gujarat,9908.7,1422.6,14.4
7,Haryana,1338.9,1051.5,78.5
8,Himachal Pradesh,424,209.8,49.5
9,Jammu & Kashmir,927.7,347.1,37.4
10,Karnataka,3110.6,1081.6,34.8
11,Kerala,1989.3,261.8,13.2
12,Madhya Pradesh,3431.3,1192.5,34.8
13,Maharashtra,14586.3,3203.3,22
14,Manipur,109.2,22.2,20.3
15,Meghalaya,103.8,22.8,22
16,Mizoram,116,94.9,81.8
17,Nagaland,443.1,40.3,9.1
18,Orissa,3756.9,305.4,8.1
19,Punjab,1326.6,497.9,37.5
20,Rajasthan,2124.1,1278.9,60.2
21,Sikkim,89.7,9.3,10.4
22,Tamil Nadu,2119.6,1323.5,62.4
23,Tripura,33.7,5.8,17.2
24,Uttar Pradesh,9490.6,2241.5,23.6
25,West Bengal,2148.3,715.2,33.3
Total (States),Total (States),63211.5,16979.9,26.9
26,A & N Islands,14.2,5.4,38
27,Chandigarh,124.2,95.2,76.7
28,D & N Haveli,23.7,9.6,40.5
29,Daman & Diu,29.6,15.7,53
30,Delhi,3731.1,610.3,16.4
31,Lakshadweep,0.6,0.2,33.3
32,Pondicherry,74.8,42.7,57.1
Total (UTs),Total (UTs),3998.1,779.1,19.5
Total (All -India),Total (All -India),67209.6,17759,26.4
33,Ahmedabad,1812.5,249.2,13.7
34,Bangalore,751,412.9,55
35,Bhopal,433.5,66.1,15.2
36,Bombay,7913.4,1742.8,22
37,Calcutta,1245.7,491.2,39.4
38,Coimbatore,131.1,83.4,63.6
39,Delhi,2805.5,495.9,17.7
40,Hyderabad,525.2,138.7,26.4
41,Indore,312.9,100.2,32
42,Jaipur,257.5,147.2,57.2
43,Kanpur,691.3,397.5,57.5
44,Kochi,116.5,23.8,20.4
45,Lucknow,426.7,129,30.2
46,Ludhiana,131.3,56.1,42.7
47,Madras,366.9,272.1,74.2
48,Madurai,86,65.6,76.3
49,Nagpur,374,90.1,22.9
50,Patna,NA,NA,NA
51,Pune,532.4,213.2,40
52,Surat,4249.8,163.2,3.8
53,Vadodara,330.8,73.5,22.2
54,Varanasi,322.9,47.8,14.8
55,Vishakhapatnam,122.6,62.8,51.2
