SL. No.,State/UT/City,Number of Cases Reported,Number of Victims - Below 10 Years,Number of Victims - 10-16 Years,Number of Victims - 16-30 Years,Number of Victims - 30 Years and Above
1,Andhra Pradesh,773,52,251,382,88
2,Arunachal Pradesh,25,4,8,13,0
3,Assam,533,14,134,313,72
4,Bihar,1120,11,238,745,126
5,Goa,12,3,1,7,1
6,Gujarat,346,27,85,191,43
7,Haryana,219,18,67,115,19
8,Himachal Pradesh,83,9,24,38,12
9,Jammu & Kashmir*,119,0,14,93,19
10,Karnataka,175,9,37,108,21
11,Kerala,227,15,58,137,17
12,Madhya Pradesh,2733,77,558,1630,468
13,Maharashtra,991,101,306,503,81
14,Manipur,18,3,1,9,5
15,Meghalaya,33,2,3,22,6
16,Mizoram,35,9,15,11,0
17,Nagaland,10,1,3,6,0
18,Orissa*,326,2,25,237,74
19,Punjab,66,6,13,30,17
20,Rajasthan,848,14,82,544,208
21,Sikkim,11,4,3,30,1
22,Tamil Nadu,256,8,30,198,20
23,Tripura,76,7,5,57,7
24,Uttar Pradesh,1757,64,348,1115,230
25,West Bengal*,615,21,138,380,83
Total (States),Total (States),11407,481,2447,6887,1618
26,A & N Islands,4,1,1,2,0
27,Chandigarh,15,4,4,7,0
28,D & N Haveli,1,0,0,1,0
29,Daman & Diu,1,0,0,1,0
30,Delhi,276,45,127,101,3
31,Lakshadweep,0,0,0,0,0
32,Pondicherry,4,1,2,1,0
Total (UTs),Total (UTs),301,51,134,113,3
Total (All -India),Total (All -India),11708,532,2581,7000,1621
33,Ahmedabad,27,7,3,6,11
34,Bangalore,27,3,9,14,1
35,Bhopal,44,5,21,16,2
36,Bombay,104,25,45,31,3
37,Calcutta,38,8,9,15,6
38,Coimbatore,1,0,1,0,0
39,Delhi,236,45,118,70,3
40,Hyderabad,41,0,2,30,9
41,Indore,32,3,13,14,2
42,Jaipur,27,0,13,14,0
43,Kanpur,38,2,6,30,0
44,Kochi,10,1,3,6,0
45,Lucknow,46,6,8,28,4
46,Ludhiana,6,1,1,30,1
47,Madras,17,0,0,17,0
48,Madurai,1,0,0,1,0
49,Nagpur,48,4,12,26,6
50,Patna,21,@,@,@,@
51,Pune,51,6,12,25,8
52,Surat,17,1,4,10,2
53,Vadodara,4,1,0,3,0
54,Varanasi,8,0,1,4,3
55,Vishakhapatnam,16,0,0,12,4
