SI.No.,State/UT,Persons in Custody/ Bail During investigation at beginning of the Year,Persons Arrested during the year,Persons released by Police /Court before trial,Persons in Custody/Bail during investigation at the end of year,Persons in whose cases chargesheets were laid,Persons under trial at the beginning of year,Total Persons under Trial,No. of Persons whose cases withdrawn or other wise disposed of,Persons in Custody /Bail during trial at the of Year,Persons in whose cases trial Completed,Persons Convicted,Persons Acquitted,Percentage of Persons Convicted to trial Completed,Persons reported for regular Deptt.Action,Persons reported for suitable action,Persons Punished Departmentaly - Dismissed from Service,Persons Punished Departmentaly - Removed from Service,Persons Punished Departmentaly - awarded other Major punishment,Persons Punished Departmentaly - awarded Minor Punishment,Gazetted or equal Status officers in public undertaking involved - Group 'A' officers,Gazetted or equal Status officers in public undertaking involved - Group 'B' officers,Non Gazetted or equal Status officers in Govt. or Public undertaking involved,Private Persons involved
1,Andhra Pradesh,60,104,0,164,79,236,315,7,265,43,25,18,58.1,49,1,1,0,10,42,0,20,33,0
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,7,7,0,0,0,0,0,NA,0,0,0,0,0,0,7,3,4,1
4,Bihar,61,18,0,86,210,507,717,1,0,3,1,2,33.3,5,0,0,0,0,0,19,37,49,17
5,Goa,3,0,0,0,3,9,12,0,12,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
6,Gujarat,210,321,173,37,321,910,1231,3,779,114,31,83,27.2,0,0,0,0,0,0,17,34,189,20
7,Haryana,241,34,12,79,24,204,228,12,233,31,1,30,3.2,0,18,0,0,0,0,0,8,42,33
8,Himachal Pradesh,74,24,18,65,15,185,200,8,144,58,1,57,1.7,2,17,0,0,0,0,8,5,8,3
9,Jammu & Kashmir,0,0,0,0,59,444,503,32,506,36,8,28,22.2,23,0,0,0,0,0,0,68,111,4
10,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Kerala,90,4,4,81,9,81,90,0,43,47,13,34,27.7,0,0,0,0,0,0,0,2,2,0
12,Madhya Pradesh,682,0,0,0,330,16,346,279,0,0,0,0,NA,0,0,0,0,0,0,26,37,101,0
13,Maharashtra,3,6,0,3,6,127,133,5,0,128,54,74,42.2,7,0,0,0,0,78,62,268,0,26
14,Manipur,8,3,0,6,5,24,29,23,6,0,0,0,NA,0,0,0,0,0,0,0,3,6,2
15,Meghalaya,6,0,0,6,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,1,0,0,0
17,Nagaland,0,2,2,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,1
18,Orissa,315,130,130,164,151,879,1030,2,963,65,11,54,16.9,28,1,0,1,17,14,32,4,98,23
19,Punjab,277,130,38,230,139,492,631,23,512,96,16,80,16.7,2,0,0,0,1,0,7,11,112,1
20,Rajasthan,101,110,0,84,127,66,193,16,110,67,18,49,26.9,684,0,0,0,5,13,3,308,373,0
21,Sikkim,0,4,0,4,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,2
22,Tamil Nadu,75,67,0,97,81,158,239,0,220,27,11,16,40.7,22,0,4,1,11,106,0,30,36,5
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,37,6,0,40,19,117,136,4,134,22,1,21,4.5,7,7,0,0,1,69,0,0,41,11
25,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (States),Total (States),2143,963,377,1146,1578,4462,6040,415,3927,737,191,546,25.9,829,45,5,2,45,322,183,838,1208,149
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,6,6,6,3,3,2,5,0,5,0,0,0,NA,0,0,0,0,0,0,3,1,6,1
28,D & N Haveli,0,0,0,0,0,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
30,Delhi,56,40,3,56,37,194,231,3,228,0,0,0,NA,2,0,1,0,0,1,1,1,37,1
31,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Pondicherry,15,2,0,9,8,2,10,0,10,0,0,0,NA,0,0,0,0,0,0,0,0,8,0
Total (UTs),Total (UTs),77,48,9,68,48,199,247,4,243,0,0,0,NA,2,0,1,0,0,1,4,2,45,2
Total (All -India),Total (All -India),2220,1011,386,1214,1626,4661,6287,419,4170,737,191,546,25.9,831,45,6,2,45,323,187,840,1253,151
