SL. No.,Year,7-12 Years,7-12 Years - Percentage to Total,12-16 Years,12-16 Years - Percentage to Total,16-18 Years,16-18 Years - Percentage to Total,18-21 Years,18-21 Years - Percentage to Total,Overall age Groups
1,1982,8272,4.9,15218,9,25618,15.2,119229,70.8,168337
2,1983,8290,4.8,16949,9.9,26153,15.2,120222,70.1,171614
3,1984,5846,3.6,12472,7.7,25054,15.4,118888,73.3,162260
4,1985,5991,3.6,11516,6.8,21172,12.6,129820,77,168499
5,1986,5138,3,12163,7.1,23940,14.1,128908,75.8,170149
6,1987,5279,2.9,10387,5.8,22209,12.3,142087,79,179962
7,1988,3446,9,31098,81.5,3624,9.5,NA,NA,38168
8,1989,4812,13.2,21028,57.8,10552,29,NA,NA,36392
9,1990,3681,11.9,23580,76.5,3555,11.5,NA,NA,30816
10,1991,5837,19.7,18887,63.8,4867,16.4,NA,NA,29591
11,1992,3435,16.1,14793,69.3,3130,14.7,NA,NA,21358
12,Percentage change in 1992 over 1982,-58.5,NA,-2.8,NA,NA,NA,NA,NA,-87.3
13,Percentage change in 1992 over 1991,-41.2,NA,-21.7,NA,-35.7,NA,NA,NA,-27.8
