Sl. No.,Crime Head,1991,1992,Percentage Variation in 1992 Over 1991,Percentage Share of Crime During 1992
1,Arms Act,65669,67977,3.5,1.6
2,Narcotic Drugs & Psychotropic Substances Act,21198,24390,15.1,0.6
3,Gambling Act,368920,357684,-3,8.3
4,Excise Act,106775,99912,-6.4,2.3
5,Prohibition Act,547363,630667,15.2,14.6
6,Explosive & Explosive Substances Act,6442,6942,7.8,0.2
7,Immoral Traffic (P) Act,15077,13889,-7.9,0.3
8,Indian Railways Act,35007,28114,-19.7,0.7
9,Registration of Foreigners Act,4197,3421,-18.5,0.1
10,Protection Of Civil Rights Act,9625,8481,-11.9,0.2
11,Indian Passport Act,1562,1720,10.1,0
12,Essential Commodities Act,10528,9448,-10.3,0.2
13,Terrorist & Disruptive Activites Act,5166,2613,-49.4,0.1
14,Antiquity & Art Treasure Act,59,56,-5.1,0
15,Dowry Prohibition Act,4589,4751,3.5,0.1
16,Other LSL Crimes,2703865,3055778,13,70.8
17,Total Cognizable Crimes Under LSL,3906042,4315843,10.5,100
