SL. No.,State/UT,1991,1992,Percentage Variation in 1992 Over 1991,Percentage Contributon to All-India During 1992
1,Andhra Pradesh,155605,156851,0.8,6.2
2,Arunachal Pradesh,2033,2314,13.8,0.1
3,Assam,44421,54252,22.1,2.1
4,Bihar,268442,263993,-1.7,10.4
5,Goa,4717,5452,15.6,0.2
6,Gujarat,162942,171128,5,6.7
7,Haryana,43418,44647,2.8,1.8
8,Himachal Pradesh,13231,12312,-6.9,0.5
9,Jammu & Kashmir,20001,17403,-13,0.7
10,Karnataka,144776,144339,-0.3,5.7
11,Kerala,119867,116865,-2.5,4.6
12,Madhya Pradesh,309628,297336,-4,11.7
13,Maharashtra,258937,275507,6.4,10.8
14,Manipur,2587,2366,-8.5,0.1
15,Meghalaya,2163,2984,38,0.1
16,Mizoram,1517,1588,4.7,0.1
17,Nagaland,1883,1287,-31.7,0.1
18,Orissa,86424,94665,9.5,3.7
19,Punjab,14750,12691,-14,0.5
20,Rajasthan,156626,178430,13.9,7
21,Sikkim,493,564,14.4,0
22,Tamil Nadu,224467,207200,-7.7,8.1
23,Tripura,7698,7195,-6.5,0.3
24,Uttar Pradesh,347630,326744,-6,12.8
25,West Bengal,98722,109751,11.2,4.3
Total (States),Total (States),2492978,2507864,0.6,98.5
26,A & N Islands,572,635,11,0
27,Chandigarh,1323,1067,-19.3,0
28,D & N Haveli,602,592,-1.7,0
29,Daman & Diu,384,320,-16.7,0
30,Delhi,26785,31191,16.4,1.2
31,Lakshadweep,41,14,-65.9,0
32,Pondicherry,5294,4361,-17.6,0.2
Total (UTs),Total (UTs),35001,38180,9.1,1.5
Total (All -India),Total (All -India),2527979,2546044,0.7,100
33,Ahmedabad,16393,22162,35.2,0.9
34,Bangalore,14887,14736,-1,0.6
35,Bhopal,*,11678,NA,0.5
36,Bombay,32919,33652,2.2,1.3
37,Calcutta,14112,12047,-14.6,0.5
38,Coimbatore,*,5123,NA,0.2
39,Delhi,23924,29738,24.3,1.2
40,Hyderabad,5829,4797,-17.7,0.2
41,Indore,*,11496,NA,0.5
42,Jaipur,7610,8948,17.6,0.4
43,Kanpur,8870,11861,33.7,0.5
44,Kochi,*,4425,NA,0.2
45,Lucknow,5849,6646,13.6,0.3
46,Ludhiana,*,740,NA,0
47,Madras,11778,10784,-8.4,0.4
48,Madurai,*,3803,NA,0.1
49,Nagpur,8309,6962,-16.2,0.3
50,Patna,*,NA,NA,0
51,Pune,14592,15828,8.5,0.6
52,Surat,*,5504,NA,0.2
53,Vadodara,*,7838,NA,0.3
54,Varanasi,*,3760,NA,0.1
55,Vishakhapatnam,*,4367,NA,0.2
