SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False / Mistake of Law etc. (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 4+5+6) (Col. 7),Percentage of Cases Pending Investigation (Col. 8)
1,Arms Act,0,0.3,1.9,83.4,85.7,14.3
2,Narcotic Drugs & Psychotropic Substances Act,1.3,0.3,1.4,58.3,60,38.7
3,Gambling Act,0,0,0.1,96.5,96.6,3.4
4,Excise Act,1.4,0.8,1.2,83.1,85.1,13.5
5,Prohibition Act,0.5,0.5,1.9,80.3,82.7,16.8
6,Explosive & Explosive Substances Act,1,1.4,8.2,53.7,63.3,35.7
7,Immoral Traffic (P) Act,0.6,0.1,0,96.3,96.4,3
8,Indian Railways Act,2,0.9,3.1,89.2,93.2,4.8
9,Registration of Foreigners Act,2,0.7,2.8,82.1,85.6,12.3
10,Protection Of Civil Rights Act,1.3,14.9,1.8,66.1,82.8,15.9
11,Indian Passport Act,0.7,7.9,3.8,74.7,86.4,12.9
12,Essential Commodities Act,0.2,2.7,5.8,51.5,59.9,39.9
13,Terrorist & Disruptive Activites Act,0,0.3,39.1,9,48.5,51.5
14,Antiquity & Art Treasure Act,2.2,2.2,6.7,73.3,82.2,15.6
15,Dowry Prohibition Act,0.7,6,7.1,51.5,64.7,34.6
16,Other LSL Crimes,0,0.2,0.6,96.1,97,3
17,Total Cognizable Crimes Under LSL,0.2,0.4,1,91.5,92.9,6.9
