SL. No.,Crime Head,Incidence - 1982,Rate - 1982,Incidence - 1987,Rate - 1987,Incidence - 1988,Rate - 1988,Incidence - 1988,Rate - 1988,Incidence - 1990,Rate - 1990,Incidence - 1991,Rate - 1991,Incidence - quinquennial Avg. 1987-1991 (Q.A.),Rate - quinquennial Avg. 1987-1991 (Q.A.),Incidence - 1992,Rate - 1992,Percentage Change in 1992 ((+) Increase/(-) Decrease) Over - 1982,Percentage Change in 1992 ((+) Increase/(-) Decrease) Over - Q.A.,Percentage Change in 1992 ((+) Increase/(-) Decrease) Over - 1991
1,Murder,2339,3.3,28531,3.6,28771,3.6,31222,3.8,35045,4.2,39174,4.6,32545,4,40105,4.6,71.8,23.2,2.4
2,Attempt to Commit Murder,*,NA,*,NA,20689,2.6,23748,2.9,27095,3.3,29778,3.5,*,NA,31202,3.6,NA,NA,4.8
3,C.H. Not Amounting to Murder,3427,0.5,3721,0.5,3755,0.5,4100,0.5,4281,0.5,4243,0.5,4020,0.5,4621,0.5,34.8,15,8.9
4,Rape,5427,0.8,8559,1.1,9099,1.1,9752,1.2,10068,1.2,10410,1.2,9578,1.2,11708,1.3,115.7,22.2,12.5
5,Kidnapping & Abduction,13341,1.9,15251,2,15771,2,17318,2.1,18474,2.2,20079,2.4,17379,2.1,20518,2.4,53.8,18.1,2.2
5,I) Of Women & Girls,*,NA,*,NA,13880,1.7,14169,1.7,14446,1.7,14283,1.7,*,NA,13996,1.6,NA,NA,-2
5,II) Of Others,*,NA,*,NA,1891,0.2,3149,0.4,4028,0.5,5796,0.7,*,NA,6522,0.8,NA,NA,12.5
6,Dacoity,12700,1.8,10036,1.3,9306,1.2,9896,1.2,11089,1.3,10831,1.3,10232,1.3,11308,1.3,-11,10.5,4.4
7,Preparation & Assembly for Dacoity,*,NA,*,NA,931,0.1,1015,0.1,1286,0.2,1393,0.2,*,NA,1297,0.1,NA,NA,-6.9
8,Robbery,21938,3.1,22917,2.9,21611,2.7,22480,2.8,25440,3.1,26428,3.1,23775,2.9,26444,3,20.5,11.2,0.1
9,Burglary,142726,20.2,125466,16.1,124304,15.6,129020,15.9,131331,15.9,132087,15.5,128442,15.8,127281,14.7,-10.8,-0.9,-3.6
10,Theft,375240,53.2,310575,39.7,319848,40.2,341240,42,353191,42.7,362928,42.7,337556,41.5,350582,40.4,-6.6,3.9,-3.4
11,Riots,106511,15.1,90789,11.6,94587,11.9,98943,12.2,102846,12.4,105309,12.4,98495,12.1,104749,12.1,-1.7,6.3,-0.5
12,Criminal Breach of Trust,18259,2.6,17847,2.3,17352,2.2,17541,2.2,16552,2,17495,2.1,17357,2.1,17925,2.1,-1.8,3.3,2.5
13,Cheating,17471,2.5,22115,2.8,22705,2.9,23691,2.9,24466,3,27466,3.2,24089,3,29397,3.4,68.3,22,7
14,Counterfeiting,939,0.1,1653,0.2,1537,0.2,2075,0.3,2576,0.3,4467,0.5,2462,0.3,5133,0.6,446.6,108.5,14.9
15,Other IPC Crimes,612586,86.9,749550,95.9,750090,94.2,797803,98.3,840709,101.7,886287,104.3,804888,99,907071,104.5,48.1,12.7,2.3
16,Total Cognizable Crimes Under IPC,1353904,192,1406992,180.1,1440356,180.8,1529844,188.5,1604449,194,1678375,197.5,1532003,188.4,1689341,194.7,24.8,10.3,0.7
