SL. No.,Crime Head,1982,1987,1988,1989,1990,1991,Quinquennial Avg. 1987-1991 (Q.A.),1992,Percentage Change in 1992 ** [(+) Increase / (-) Decrease] Over - 1982,Percentage Change in 1992 ** [(+) Increase / (-) Decrease] Over - Quinquennial Avg. (Q.A.),Percentage Change in 1992 ** [(+) Increase / (-) Decrease] Over - 1991
1,Murder,1289,1295,661,496,377,348,635,292,-77.3,-54,-16.1
2,Attempt to Commit Murder,*,*,271,255,218,171,*,177,NA,NA,3.5
3,C.H. Not Amounting to Murder,72,133,41,52,38,24,58,19,-73.6,-67,-20.8
4,Rape,441,608,317,263,184,189,312,158,-64.2,-49.4,-16.4
5,Kidnapping & Abduction,612,648,314,179,92,141,275,79,-87.1,-71.3,-44
5,I) Of Women & Girls,*,*,283,142,83,133,*,62,NA,NA,-53.4
5,II) Of Others,*,*,31,37,9,8,*,17,NA,NA,112.5
6,Dacoity,651,415,226,136,116,52,189,51,-92.2,-73,-1.9
7,Preparation & Assembly for Dacoity,*,*,25,15,9,9,*,2,NA,NA,-77.8
8,Robbery,982,772,408,258,185,164,357,87,-91.1,-75.7,-47
9,Burglary,6214,5153,277,2131,1764,1553,2665,1464,-76.4,-45.1,-5.7
10,Theft,14029,11414,5584,4470,3778,4638,5977,3203,-77.2,-46.4,-30.9
11,Riots,10906,6712,3021,1916,1525,1270,2889,906,-91.7,-68.6,-28.7
12,Criminal Breach of Trust,226,264,157,47,104,21,119,21,-90.7,-82.3,0
13,Cheating,330,311,77,78,47,47,112,46,-86.1,-58.9,-2.1
14,Counterfeiting,3,14,1,4,0,2,4,0,-100,-100,-100
15,Other IPC Crimes,23590,24871,11002,8157,6793,3959,10956,4595,-80.5,-58.1,16.1
16,Total Cognizable Crimes Under IPC,59345,52610,24827,18457,15230,12588,24742,11100,-81.3,-55.1,-11.8
