SL. No.,State/UT,Incidence,Percentage Contribution to All-India Total,Estimated Mid-Year Population (in Lakhs),Rate (Incidence Per Lakh of Population),Rank* of Criminality
1,Andhra Pradesh,6412,8.1,681.3,9.4,15
2,Arunachal Pradesh,91,0.1,8.9,10.2,10
3,Assam,1520,1.9,230.8,6.6,21
4,Bihar,1946,2.5,889.8,2.2,29
5,Goa,93,0.1,12,7.8,19
6,Gujarat,4258,5.4,423.3,10.1,11
7,Haryana,1612,2,169.7,9.5,14
8,Himachal Pradesh,609,0.8,53,11.5,9
9,Jammu & Kashmir,939,1.2,79.5,11.8,8
10,Karnataka,2540,3.2,459.5,5.5,23
11,Kerala,1146,1.4,296.6,3.9,27
12,Madhya Pradesh,12424,15.7,680.3,18.3,3
13,Maharashtra,11951,15.1,810.3,14.7,5
14,Manipur,160,0.2,18.9,8.5,17
15,Meghalaya,44,0.1,18.3,2.4,28
16,Mizoram,87,0.1,7.2,12.1,6
17,Nagaland,2,0,12.6,0.2,31
18,Orissa,1818,2.3,324.6,5.6,22
19,Punjab,314,0.4,207,1.5,30
20,Rajasthan,7093,9,453,15.7,4
21,Sikkim,29,0,4.2,6.9,20
22,Tamil Nadu,2383,3,566.3,4.2,25
23,Tripura,284,0.4,28.4,10,12
24,Uttar Pradesh,12873,16.3,1425.1,9,16
25,West Bengal,3844,4.9,696.6,5.5,24
Total (States),Total (States),74472,94.2,8557.2,8.7,NA
26,A & N Islands,28,0,2.9,9.7,13
27,Chandigarh,82,0.1,6.8,12.1,7
28,D & N Haveli,11,0,1.4,7.9,18
29,Daman & Diu,4,0,1,4,26
30,Delhi,3680,4.7,98.7,37.3,2
31,Lakshadweep,0,0,0.5,0,32
32,Pondicherry,760,1,8.3,91.6,1
Total (UTs),Total (UTs),4565,5.8,119.6,38.2,NA
Total (All -India),Total (All -India),79037,100,8676.8,9.1,NA
