SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three times or more
1,Murder,93.1,5.8,0.9,0.2
2,Culpable Homicide Not Amounting to Murder,93,4.8,2,0.2
3,Rape,95.8,3.8,0.3,0.1
4,Kidnapping & Abduction,93.2,5.3,1.1,0.4
5,Dacoity,87.5,8.6,3,0.9
6,Robbery,88.6,8.2,2.3,0.9
7,Burglary,86,9.1,3.2,1.7
8,Thefts,85.6,9.3,3.2,1.9
9,Riots,95.7,3.8,0.4,0.1
10,Criminal Breach of Trust,95.5,3.8,0.6,0.1
11,Cheating,94.7,4.3,0.7,0.3
12,Counterfeiting,98.8,1.2,NA,NA
13,Total IPC,94,4.4,1.1,0.5
