SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder,0.6,28.1,71.3,45
2,Culpable Homicide Not Amounting to Murder,1,27.1,71.9,43.7
3,Rape,0.7,26.9,72.4,36.8
4,Kidnapping & Abduction,1.3,23.3,75.4,33.4
5,Dacoity,0.3,21.8,77.9,48.1
6,Robbery,2.8,19.3,77.9,45.4
7,Burglary,2.8,24.5,72.7,53.7
8,Thefts,3.6,24.9,71.5,59.6
9,Riots,6,17.2,76.8,36.6
10,Criminal Breach of Trust,2,17.1,80.9,48
11,Cheating,3.9,18.1,78,47.3
12,Counterfeiting,2.8,22.6,74.6,41.6
13,Other IPC Offences,7.5,25.6,66.9,52.7
14,Total Cognizable Crime,5.6,24,70.4,51.9
