SL. No.,Heads of Crime,Number of Cases Reported During - 1977,Number of Cases Reported During - 1978,Number of Cases Reported During - 1979,Number of Cases Reported During - 1980,Number of Cases Reported During - 1981,Quinquennial average 1977 to 1981,Cases reported during 1982,Percentage Change in 1982 Over - Quinquennial Average,Percentage Change in 1982 Over - 1981
1,Total IPC Cognizable Crime,44008,44284,46351,55129,61019,50158,59345,18.3,-2.8
2,Murder,864,718,812,1038,1228,932,1289,38.3,5
3,Culpable Homicide Not Amounting to Murder,59,89,92,89,92,84,72,-14.3,-21.7
4,Rape,235,287,312,459,438,346,441,27.4,0.7
5,Kidnapping & Abduction,329,597,493,482,527,486,612,25.9,16.1
6,Dacoity,285,288,359,455,613,400,651,62.8,6.2
7,Robbery,630,741,743,941,1057,822,982,19.5,-7
8,Burglary,6549,6218,6275,6434,6720,6439,6214,-3.5,-7.5
9,Thefts,16069,14148,15376,17093,17516,16040,14029,-12.5,-19.9
10,Riots,4903,5049,6195,8384,9979,6902,10906,58,9.3
11,Criminal Breach of Trust,265,244,224,287,272,258,226,-12.4,-16.9
12,Cheating,219,292,259,292,285,269,330,22.7,15.8
13,Counterfeiting,NA,3,2,2,15,5,3,-40,-80
14,Miscellaneous (Other than those included above),13601,15610,15209,19173,22277,17174,23590,37.4,5.9
