SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Total number of persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation
1,Murder,70677,14801,52563,20.9,74.4
2,Culpable Homicide Not Amounting to Murder,8868,1871,6373,21.1,71.9
3,Rape,9579,2208,6685,23.1,69.8
4,Kidnapping & Abduction,22128,5172,13903,23.4,62.8
5,Dacoity,66455,17662,35846,26.6,53.9
6,Robbery,32011,5121,22446,16,70.1
7,Burglary,115878,14248,88770,12.3,76.6
8,Thefts,268459,33961,195933,12.6,73
9,Riots,690137,128143,503026,18.6,72.9
10,Criminal Breach of Trust,24997,7887,14268,31.6,57.1
11,Cheating,21399,6071,13161,28.4,61.5
12,Counterfeiting,1129,430,436,38.1,38.6
13,Total Cognizable Crime,2334028,341622,1794469,14.6,76.9
