SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Murder,33091,901,22451,9739,17710
2,Culpable Homicide Not Amounting to Murder,4699,153,3127,1419,2373
3,Rape,7453,614,4747,2092,4065
4,Kidnapping and Abduction,18277,3788,9334,5155,6515
5,Dacoity,20494,1164,11431,7899,7225
6,Robbery,43313,3593,31066,8654,14877
7,Burglary,174403,8844,135095,30464,50422
8,Thefts,435609,25849,338202,71558,134874
9,Riots,139189,17964,87356,33869,73029
10,Criminal Breach of Trust,33852,3679,15720,14453,10569
11,Cheating,27303,2956,13043,11304,8795
12,Counterfeiting,1617,187,483,947,177
13,Other IPC Offences,717175,59610,551790,105775,468982
14,Total Cognizable Crimes Under IPC,1656475,129302,1223845,303328,799613
