SL. No.,Category,State/U.Ts./Cities,1977,1978,1979,1980,1981,Quinquennial Average of 1977 to 1981 (Q.A.),1982,"Percentage Variation in 1982 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation in 1982 (+) Increase, (-) Decrease - Over - 1981",Volume of Crime in 1982 Per One Lakh of Population
1,State,Andhra Pradesh,66852,68092,76709,69320,75294,71253,79722,11.9,5.9,145
2,State,Assam,36050,37140,40334,43773,43797,40219,43632,8.5,-0.4,211.9
3,State,Bihar,96897,10021,101146,104225,107006,101879,106768,4.8,-0.2,148.4
4,State,Gujarat,59915,61736,62508,61713,78639,64902,80740,24.4,2.7,230.2
5,State,Haryana,13039,15505,16297,16600,16699,15628,16563,6,-0.8,123.6
6,State,Himachal Pradesh,4553,4581,4801,4864,4197,4599,3989,-13.3,-5,90.2
7,State,Jammu & Kashmir,14529,12443,14118,15075,15973,14428,15523,7.6,-2.8,252.4
8,State,Karnataka,69315,80136,75883,77443,79605,76476,74479,-2.6,-6.4,194.6
9,State,Kerala,41262,48618,43412,47641,48064,45799,46096,0.6,-4.1,177
10,State,Madhya Pradesh,148125,164469,160787,169751,169119,162450,170310,4.8,0.7,317
11,State,Maharashtra,145086,150626,154372,167347,172976,158082,165747,4.8,-4.2,256.5
12,State,Manipur,3258,3363,3242,3505,3278,3329,3081,-7.5,-6,209.6
13,State,Meghalaya,1705,1894,2280,2203,2122,2041,1733,-15.1,-18.3,124.7
14,State,Nagaland,844,957,834,919,993,909,1058,16.4,6.5,129
15,State,Orissa,35416,39589,42595,48081,47780,42692,48060,12.6,-0.6,178.1
16,State,Punjab,13994,12831,12128,11679,13588,12844,12263,-4.5,-9.8,71
17,State,Rajasthan,62244,63752,59877,60846,67052,62754,73610,17.3,9.8,206.9
18,State,Sikkim,193,217,318,281,295,261,226,-13.4,-23.4,68.5
19,State,Tamil Nadu,90396,107973,104745,116110,118471,107539,115410,7.3,-2.6,233.4
20,State,Tripura,3820,5355,5766,6098,4178,5044,5486,8.8,31.3,257.6
21,State,Uttar Pradesh,222621,217277,206230,198121,185485,205949,167747,-18.6,-9.6,146.9
22,State,West Bengal,91450,93596,92367,93618,89207,92048,83379,-9.4,-6.5,148.7
Total (States),State,Total (States),1221564,1290271,1280749,1319223,1343818,1291125,1315622,1.9,-2.1,189.3
23,UT,A & N Islands,592,701,703,805,737,707,702,-0.7,-4.8,351
24,UT,Arunachal Pradesh,476,443,615,852,841,645,1011,56.7,20.2,153.2
25,UT,Chandigarh,2495,2609,2430,2118,1683,2267,1617,-28.7,-3.9,330
26,UT,D & N Haveli,35856,43407,44078,37588,30636,38313,27163,-29.1,-11.3,412.8
27,UT,Delhi,109,220,191,177,192,178,272,52.8,41.7,247.3
28,UT,"Goa, Daman & Diu",1890,2181,2209,2927,3418,2525,3218,27.4,-5.9,287.3
29,UT,Lakshadweep,15,20,6,15,12,14,15,7.1,25,37.5
30,UT,Mizoram,737,771,1277,1055,1506,1069,1709,59.9,13.5,328.7
31,UT,Pondicherry,3270,4345,3910,3769,2914,3642,2575,-29.3,-11.6,415
Total (UTs),UT,Total (UTs),45440,54697,55419,49306,41949,49360,38282,-22.4,-8.7,370.2
Total (All-India),Total (All-India),Total (All-India),1267004,1344968,1336168,1368529,1385757,1340485,1353904,1,-2.3,192
1,City,Ahmedabad,7323,8035,8017,8678,10502,8511,11432,-34.3,8.9,539.2
2,City,Bangalore,20751,26063,22439,18307,17122,20936,14818,-29.2,-13.5,563.4
3,City,Bombay,36866,36160,36448,35695,35263,36086,34696,-3.9,-1.6,403
4,City,Calcutta,12577,13039,13104,13981,13951,13330,13249,-0.6,-5.1,399.1
5,City,Delhi,33865,41061,41552,35648,29341,36293,25855,-28.8,-11.9,504
6,City,Hyderabad,5955,7772,8478,7412,6870,7297,6510,-10.8,-5.2,301.4
7,City,Jaipur,7752,11395,10546,6300,5882,8375,6017,-28.2,2.3,393.3
8,City,Kanpur,18247,19089,17288,17279,15693,17519,13375,-23.7,-14.8,393.4
9,City,Lucknow,NA,NA,NA,NA,8031,NA,7892,NA,-1.7,626.3
10,City,Madras,NA,NA,NA,NA,5577,NA,5173,NA,-7.2,497.4
11,City,Nagpur,NA,NA,NA,NA,10291,NA,9100,NA,-11.6,989.1
12,City,Pune,NA,NA,NA,NA,5750,NA,16763,NA,191.5,1309.6
Total (Cities),City,Total (Cities),143336,162614,157872,143300,164273,NA,164880,NA,0.4,493.7
