SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder,2.7,67.9,29.4,78.9
2,Culpable Homicide Not Amounting to Murder,3.3,66.5,30.2,75.9
3,Rape,8.2,63.7,28.1,85.6
4,Kidnapping & Abduction,20.7,51.1,28.2,69.8
5,Dacoity,5.7,55.8,38.5,63.2
6,Robbery,8.3,71.7,20,47.9
7,Burglary,5.1,77.4,17.5,37.3
8,Thefts,5.9,77.7,17.4,39.9
9,Riots,12.9,62.8,24.3,83.6
10,Criminal Breach of Trust,10.9,46.4,42.7,67.2
11,Cheating,10.8,47.8,41.4,67.4
12,Counterfeiting,11.6,29.9,58.5,36.6
13,Other IPC Offences,8.3,76.9,14.8,85
14,Total Cognizable Crimes Under IPC,7.8,73.9,18.3,65.3
