SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder,50149,327,14085,6335,35737
2,Culpable Homicide Not Amounting to Murder,7816,76,2115,924,5625
3,Rape,11759,83,3164,1164,8512
4,Kidnapping & Abduction,23644,321,5503,1840,17820
5,Dacoity,34141,112,7433,3577,26596
6,Robbery,61627,1706,11922,5413,47999
7,Burglary,175835,5004,43079,23134,127752
8,Thefts,418717,15186,104303,62199,299228
9,Riots,258228,15531,44290,16212,198407
10,Criminal Breach of Trust,47105,932,8037,3861,38136
11,Cheating,34884,1357,6299,2977,27228
12,Counterfeiting,501,14,113,47,374
13,Other IPC Offences,1179983,88907,301711,159007,789365
14,Total Cognizable Crimes Under IPC,2304389,129556,552054,286690,1622779
