SL. No.,Heads of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,0.4,87.7,11.9,97.3
2,Opium Act,0.3,65.4,34.3,97.4
3,Gambling Act,Neg.,96.4,3.5,99.9
4,Excise Act,0.4,81.3,18.3,98.9
5,Prohibition Act,2.6,45.1,52.3,86.1
6,Explosive & Explosive Substances Act,2.8,56.8,40.4,72.1
7,Suppression of Immoral Traffic Act,0.1,97.8,2.1,99.9
8,Motor Vehicles Act,0.2,98.5,13,99.9
9,Prevention of Corruption Act,4,44.6,51.4,88
10,Customs Act,59,22.9,18.1,90.9
11,Indian Railways Act,0.6,97.6,1.8,96.3
12,Other Offences,2,96.3,1.7,99.3
13,Total,1.3,85.2,13.5,98
