SL. No.,Heads of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Pending Trial at the End of the year
1,Arms Act,191348,408,62157,26915,128783
2,Opium Act,31159,182,12830,9473,18147
3,Gambling Act,316667,1202,194958,167372,120507
4,Excise Act,256584,984,106221,62993,149379
5,Prohibition Act,618027,13362,227370,109127,377295
6,Explosive & Explosive Substances Act,4820,73,1179,639,3568
7,Suppression of Immoral Traffic Act,20294,297,15708,14559,4289
8,Motor Vehicles Act,1277459,7536,1032953,977768,236970
9,Prevention of Corruption Act,794,6,234,105,554
10,Customs Act,60,2,20,11,38
11,Indian Railways Act,43564,54,38247,36905,5263
12,Other Offences,1343807,10974,1107076,560579,225757
13,Total,4104583,35080,2798953,1966446,1270550
