SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed,Persons in custody or on bail at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder,154986,737,42622,111627,17090,72,40.1
2,Culpable Homicide Not Amounting to Murder,20211,151,5744,14316,2371,70.8,41.3
3,Rape,18969,129,5141,13699,1812,72.2,35.2
4,Kidnapping & Abduction,52250,805,12100,39345,4026,75.3,33.3
5,Dacoity,161218,434,34693,126091,12090,78.2,34.8
6,Robbery,84737,1036,17925,65776,7053,77.6,39.3
7,Burglary,316378,9782,72647,233949,33526,73.9,46.1
8,Thefts,667907,25360,159056,483491,79031,72.4,49.7
9,Riot,1783589,97681,317409,1368499,106735,76.7,33.6
10,Criminal Breach of Trust,59711,1508,10955,47248,5030,79.1,45.9
11,Cheating,49685,1378,8900,39407,3806,79.3,42.8
12,Counterfeiting,976,17,215,744,89,76.2,41.4
13,Total Cognizable Crime,5559272,304754,1219836,4034682,517425,72.6,42.4
