SL. No.,Category,States/U.Ts./Cities,Value of Property Stolen (Rs. in Lakhs),Value of Property Recovered (Rs. in Lakhs),Percentage of Property to Value Stolen,Value of Recovered of Property
1,State,Andhra Pradesh,513.85,218.94,42.6,
2,State,Assam,154.02,21.28,13.8,
3,State,Bihar,457.54,27.94,6.1,
4,State,Gujarat,913.48,250.91,27.5,
5,State,Haryana,330.28,242,73.3,
6,State,Himachal Pradesh,65.75,49.25,74.9,
7,State,Jammu and Kashmir,163.72,75.35,46,
8,State,Karnataka,680.95,244.8,35.9,
9,State,Kerala,330.33,94.43,28.6,
10,State,Madhya Pradesh,1473.86,278.08,18.9,
11,State,Maharashtra,3554.18,1196.62,33.7,
12,State,Manipur,42.92,3.81,8.9,
13,State,Meghalaya,20.15,4.83,24,
14,State,Nagaland,23.68,8.52,36,
15,State,Orissa,378.55,109.64,29,
16,State,Punjab,418.07,383.76,91.8,
17,State,Rajasthan,647.24,410.31,63.4,
18,State,Sikkim,4.82,3.65,75.7,
19,State,Tamil Nadu,579.91,297.96,51.4,
20,State,Tripura,19.43,3.23,16.6,
21,State,Uttar Pradesh,2921.25,353.78,12.1,
22,State,West Bengal,2274.23,233.87,10.3,
Total (States),State,Total (States),15968.21,4512.96,28.3,
23,UT,A & N Islands,6.24,3.11,49.8,
24,UT,Arunachal Pradesh,10,2.38,23.8,
25,UT,Chandigarh,36.94,19.45,52.7,
26,UT,D & N Haveli,1.01,0.21,20.8,
27,UT,Delhi,1520.61,252.66,16.6,
28,UT,"Goa, Daman & Diu",64.25,14.98,23.3,
29,UT,Lakshadweep,0.12,Neg.,NA,
30,UT,Mizoram,25.07,10.52,42,
31,UT,Pondicherry,24.98,7.09,28.4,
Total (UTs),UT,Total (UTs),1689.22,310.4,18.4,
Total (All-India),Total (All-India),Total (All-India),17657.43,4821.74,27.3,
1,City,Ahmedabad,129.48,64.49,49.8,
2,City,Bangalore,187.91,86.32,45.9,
3,City,Bombay,2141.82,832.05,38.8,
4,City,Calcutta,419.67,166.8,39.7,
5,City,Delhi,1480.66,241.44,16.3,
6,City,Hyderabad,89.77,47.84,53.3,
7,City,Jaipur,92.89,60.45,65.1,
8,City,Kanpur,465.14,29.42,6.3,
9,City,Lucknow,95.31,21.78,22.9,
10,City,Madras,83.28,63.54,76.3,
11,City,Nagpur,88.58,24.78,28,
12,City,Pune,100.24,34.94,34.9,
Total (Cities),City,Total (Cities),5649.09,1703.27,30.2,
