SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including the Cases Carried over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Arms Act,70121,271,61474,8376,59808
2,Opium Act,21316,57,13947,7312,13582
3,Gambling Act,211765,105,204247,7413,204081
4,Excise Act,139649,510,113512,25627,112284
5,Prohibition Act,725516,18921,327075,379520,281525
6,Explosive & Explosive Substances Act,4954,139,2812,2003,2027
7,Suppression of Immoral Traffic Act,16235,24,15877,334,15865
8,Motor Vehicles Act,1106562,2217,1090298,14047,1089284
9,Prevention of Corruption Act,597,24,266,307,23
10,Customs Act,144,85,33,26,30
11,Indian Railways Act,41742,238,40741,763,39230
12,Other Offences,1105256,22749,1064105,18402,1056451
13,Total,3443857,45340,2934387,464130,2874190
