SL. No.,Heads of Crime,Incidence - 1972,Volume - 1972,Incidence - 1977,Volume - 1977,Incidence - 1978,Volume - 1978,Incidence - 1979,Volume - 1979,Incidence - 1980,Volume - 1980,Incidence - 1981,Volume - 1981,Quinquennial Average 1976-1981 (Q.A.),Incidence - 1982,Volume - 1982,"Percentage Change in 1982 (+) Increase, (-) Decrease - Over - 1972","Percentage Change in 1982 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Change in 1982 (+) Increase, (-) Decrease - Over - 1981"
1,Total Cognizable Crime,984773,174.8,1267004,202.5,1344968,210.7,1336168,205.2,1368529,206.2,1385757,200.8,1340485,1353904,192,37.5,1,-2.3
2,Murder,15475,2.7,18376,2.9,19314,3,20349,3.1,22149,3.3,22727,3.3,20583,23339,3.3,50.8,13.4,2.7
3,Culpable Homicide Not Amounting to Murder,2196,0.4,2615,0.4,2728,0.4,3008,0.5,3032,0.5,3272,0.5,2931,3427,0.5,56.1,16.9,4.7
4,Rape,2605,0.5,4058,0.6,4558,0.7,4300,0.7,5023,0.8,5409,0.8,4669,5427,0.8,108.3,16.2,0.3
5,Kidnapping & Abduction,9402,1.7,12240,2,13616,2.1,13125,2,13595,2,13833,2,13282,13341,1.9,41.9,0.4,-3.6
6,Dacoity,10411,1.8,12599,2,13195,2.1,14028,2.2,15194,2.3,14626,2.1,13928,12700,1.8,22,-8.8,-13.2
7,Robbery,17054,3,22725,3.6,22923,3.6,22860,3.5,23493,3.5,22996,3.3,22999,21938,3.1,28.6,-4.6,-4.6
8,Burglary,167062,29.6,193622,30.9,183991,28.8,168574,25.9,166695,25.1,157540,22.8,174085,142726,20.2,-14.6,-18,-9.4
9,Thefts,346382,61.5,432046,69,437187,68.5,430483,66.1,431036,65,422059,61.2,430563,375240,53.2,8.3,-12.8,-11.1
10,Riots,65781,11.7,80449,12.9,96488,15.1,98896,15.2,106957,16.1,110361,16,98630,106511,15.1,61.9,8,-3.5
11,Criminal Breach of Trust,21004,3.7,22868,3.7,23255,3.6,22016,3.4,20684,3.1,20579,3,21880,18259,2.6,-13.1,-16.6,-11.3
12,Cheating,12646,2.2,19623,3.1,19821,3.1,18370,2.8,17416,2.6,17767,2.6,18599,17471,2.5,38.2,-6.1,-1.7
13,Counterfeiting,670,0.1,784,0.1,636,0.1,525,0.1,830,0.1,1004,0.1,756,939,0.1,40.1,24.2,-6.5
14,Other IPC Offences,314085,55.7,444999,71.1,507256,79.5,519634,79.8,542425,81.7,373584,83.1,517582,612586,86.9,95,18.4,6.8
