SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial During the Year,Percentage of Cases in which Trials were Completed to Total Cases Under Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Conviction to Cases in which Trials were Completed
1,Arms Act,0.2,32.5,67.3,43.3
2,Opium Act,0.6,41.2,58.2,73.8
3,Gambling Act,0.4,61.6,38,85.8
4,Excise Act,0.4,41.4,58.2,59.3
5,Prohibition Act,2.2,36.8,61,48
6,Explosive & Explosive Substances Act,1.5,24.5,74,54.2
7,Suppression of Immoral Traffic Act,1.5,77.4,21.1,92.7
8,Motor Vehicles Act,0.6,80.8,18.6,94.6
9,Prevention of Corruption Act,0.7,29.5,69.8,44.9
10,Customs Act,3.3,33.3,63.4,55
11,Indian Railways Act,0.1,87.8,12.1,96.5
12,Other Offences,0.8,82.4,16.8,50.6
13,Total,0.8,68.2,31,70.3
