SL. No.,Crime Heads,Persons Arrested - 1981,Persons Arrested - 1982,Percentage Variation in 1982 Over 1981,Percentage to Total Persons Arrested During 1982
1,Total Cognizable Crime,2013088,2007530,-0.3,100
2,Murder,56060,56421,0.6,2.8
3,Culpable Homicide Not Amounting to Murder,6337,7086,11.8,0.4
4,Rape,7407,7442,0.5,0.4
5,Kidnapping & Abduction,17468,17389,-0.5,0.9
6,Dacoity,54053,47651,-11.8,2.4
7,Robbery,28169,26843,-4.7,1.3
8,Burglary,105629,102256,-3.2,5.1
9,Thefts,252738,234787,-7.1,11.7
10,Riots,573186,570378,-0.5,28.4
11,Criminal Breach of Trust,16946,16686,-1.5,0.8
12,Cheating,14988,15138,1,0.8
13,Counterfeiting,545,750,37.6,Neg.
14,Miscellaneous,879562,904703,2.9,45
