SL. No.,Category,States/UTs/Cities,Murder - 1985,Murder - 1986,Murder - Percentage Variation,Kidnapping & Abduction - 1985,Kidnapping & Abduction - 1986,Kidnapping & Abduction - Percentage Variation,Culpable Homicide Not Amounting to Murder - 1985,Culpable Homicide Not Amounting to Murder - 1986,Culpable Homicide Not Amounting to Murder - Percentage Variation,Rape - 1985,Rape - 1986,Rape - Percentage Variation,Dacoity - 1985,Dacoity - 1986,Dacoity - Perentage Variation,Robbery - 1985,Robbery - 1986,Robbery - Percentage Variation,Burglary - 1985,Burglary - 1986,Burglary - Percentage Variation,Theft - 1985,Theft - 1986,Theft - Percentage Variation,Riots - 1985,Riots - 1986,Riots - Percentage Variation,Criminal Breach of Trust - 1985,Criminal Breach of Trust - 1986,Criminal Breach of Trust - Percentage Variation,Cheating - 1985,Cheating - 1986,Cheating - Percentage Variation,Counterfeiting - 1985,Counterfeiting - 1986,Counterfeiting - Percentage Variation,Total Cognizable Crimes Under IPC - 1985,Total Cognizable Crimes Under IPC - 1986,Total Cognizable Crimes Under IPC - Percentage Variation
1,State,Andhra Pradesh,1641,1599,-2.6,518,558,7.7,18,21,16.7,409,428,4.6,293,330,12.6,554,575,3.8,5853,6676,14.1,16120,11838,-26.6,4124,3157,-23.4,622,619,-0.5,1230,1161,-5.6,63,109,73,82219,81322,-1.1
2,State,Assam,662,720,8.8,840,898,6.9,31,37,19.4,332,398,19.9,429,446,4,469,575,22.6,3889,4236,8.9,7057,9150,29.7,4322,4531,4.8,494,504,2,454,584,28.6,58,1,-98.3,34459,38108,10.6
3,State,Bihar,3244,3470,7,1538,1650,7.3,601,613,2,686,794,15.7,3046,2961,-2.8,2092,2226,6.4,8791,9339,6.2,20815,18623,-10.5,15437,16816,8.9,1352,1375,1.7,1260,1437,14,41,49,19.5,100549,105901,5.3
4,State,Gujarat,1171,1179,0.7,558,557,-0.2,4,17,325,130,149,14.6,301,236,-21.6,811,826,1.8,5404,5646,4.5,17339,17913,3.3,4400,2277,-48.2,1177,1458,23.9,800,796,-0.5,23,63,173.9,87336,83001,-5
5,State,Haryana,348,417,19.8,222,182,-18,109,110,0.9,105,142,35.2,21,36,-71.4,69,70,1.4,2192,2133,-2.7,3398,3524,3.7,200,245,22.5,313,283,-9.6,490,423,-13.7,4,10,150,20001,21797,9
6,State,Himachal Pradesh,74,59,-20.3,71,90,26.8,26,18,-30.8,33,52,57.6,4,2,-50,19,23,21.1,618,719,16.3,578,617,6.7,237,302,27.4,102,98,-3.9,107,99,-7.5,4,4,0,5299,5955,12.4
7,State,Jammu & Kashmir,121,87,-28.1,544,509,-6.4,9,9,0,207,187,-9.7,6,15,150,34,29,-14.7,1493,1532,2.6,2868,3326,16,2148,1805,-16,157,231,47.1,211,267,26.5,NA,NA,NA,19440,19855,2.1
8,State,Karnataka,1002,1071,6.9,370,329,-11.1,20,23,15,121,133,9.9,175,239,36.6,471,475,0.8,7839,7206,-8.1,16528,16857,2,5820,6019,3.4,661,797,20.6,1842,1538,-16.5,444,302,-32,83580,81540,-2.4
9,State,Kerala,472,535,13.3,129,149,15.5,28,36,28.6,130,138,6.2,25,32,28,123,149,21.1,3692,3856,4.4,2956,3054,3.3,4854,5131,5.7,342,362,5.8,862,1220,41.5,162,224,38.3,49146,53911,9.7
10,State,Madhya Pradesh,2639,2650,0.4,1583,995,-37.1,54,40,-25.9,1465,1506,2.8,347,294,-15.3,2287,1781,-22.1,20266,18249,-10,39089,37178,-4.9,5513,4540,-17.6,1075,1485,38.1,1417,1657,16.9,14,37,164.3,171553,170673,-0.5
