SL. No. (Col. 1),Heads of Crime (Col. 2),Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year (Col. 3),Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable (Col. 4),Number of Cases Other than Shown in Column 4 in which Investigation was Completed (Col. 5),Number of Cases in which Chargesheets were Laid (Col. 6),Number of Cases in which Could not be Sent for Trial for Want of Evidence (Col. 7),Number of Cases Pending Investigation at the End of the Year (Col. 8)
1,Murder,38926,1003,26280,21475,4805,11643
2,Culpable Homicide Not Amounting to Murder,5791,229,3979,3089,890,1583
3,Rape,10440,757,6848,6070,801,2835
4,Kidnapping & Abduction,22018,4264,11429,8286,3143,6325
5,Dacoity,17463,1180,10239,6689,3550,6044
6,Robbery,28913,4293,18145,11039,7106,6475
7,Burglary,156222,8490,117702,47746,69956,30030
8,Theft,397542,25037,300866,126932,173934,71639
9,Riots,124058,16002,81983,70764,11219,26073
10,Criminal Breach of Trust,32274,3242,15413,10626,4787,13619
11,Cheating,35654,4141,17574,11898,5676,13939
12,Counterfeiting,2713,662,1060,338,722,991
13,Other IPC Offences,844332,59663,660292,579237,81032,124377
14,Total Cognizable Crimes Under IPC,1716346,128963,1271810,904189,367621,315573
