SL. No. (Col. 1),Head of Crime (Col. 2),Total Number of Cases for Investigation During the Year Including the Cases Carried over from Previous Year (Col. 3),Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable (Col. 4),Number of Cases Other than Shown in Column 4 in which Investigation was Completed (Col. 5),Number of Cases in which Chargesheets were Laid (Col. 6),Number of Cases in which Could not be Sent for Trial for Want of Evidence (Col. 7),Number of Cases Pending Investigation at the End of the Year (Col. 8)
1,Arms Act,64978,363,56826,55485,1341,7789
2,Narcotic Drugs & Psychotropic Substances Act,18016,76,12873,12709,164,5067
3,Gambling Act,168078,131,163043,162208,835,4904
4,Excise Act,114242,854,92546,91980,566,20842
5,Prohibition Act,621627,31090,382737,342411,40326,207800
6,Explosive & Explosive Substances Act,5495,150,3393,2691,702,1952
7,Immoral Traffic (Prevention) Act,15011,12,14642,14515,127,357
8,Motor Vehicles Act,1184088,2170,1173661,1153827,19834,8257
9,Prevention of Corruption Act,502,14,174,156,18,314
10,Customs Act,161,39,115,112,3,7
11,Indian Railways Act,38185,342,37155,35618,1537,688
12,Other Offences,1105899,39328,1005975,983839,22136,60596
13,Total Cognizable Crimes Under Local and Special Laws,3336282,74569,2943140,2855551,87589,318573
