SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial During the Year,Percentage of Cases in which Trials were Completed to Total Cases for Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Conviction to Cases in which Trials were Completed
1,Arms Act,0.2,25.3,74.5,63
2,Narcotic Drugs & Psychotropic Substances Act,0.5,30.9,68.6,61.9
3,Gambling Act,0.2,51.9,47.9,79.1
4,Excise Act,0.2,32.1,67.7,64.8
5,Prohibition Act,4.3,27.9,67.8,56.2
6,Explosive and Explosive Substances Act,1.1,24.7,74.2,59
7,Immoral Traffic (Prevention) Act,0.5,73.3,26.2,93.5
8,Motor Vehicles Act,0.2,64,35.8,78.4
9,Prevention of Corruption Act,2,24.7,73.3,42.9
10,Customs Act,1.3,30.4,68.3,95.8
11,Indian Railways Act,0.1,82.2,17.7,98.7
12,Other Offences Under Local and Special Laws,0.5,74.1,25.4,85.2
13,Total Cognizable Crimes Under Local and Special Laws,1,55.8,43.2,78.5
