SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three time or more
1,Murder,87.7,10.2,1.8,0.3
2,Culpable Homicide Not Amounting to Murder,83,13.5,2.8,0.7
3,Rape,87.1,11,1.9,Neg.
4,Kidnapping & Abduction,90.6,8,1,0.4
5,Dacoity,85.1,11.3,3,0.6
6,Robbery,85.4,11.5,2.4,0.7
7,Burglary,82.3,13.2,2.9,1.6
8,Theft,84,11.4,2.8,1.8
9,Riots,94.5,4.6,0.8,0.1
10,Criminal Breach of Trust,91.9,7,0.9,0.2
11,Cheating,89.4,8.7,1.4,0.5
12,Counterfeiting,96.6,3.3,0.1,NA
13,Total Cognizable Crimes Under IPC,88.5,9,1.6,0.9
