SL. No.,Heads of Offences,Number of Cases Reported During - 1985,Number of Cases Reported During - 1986,Percentage of Offences to Total Offences - in 1986
1,Arms Act,1244,1182,1.5
2,Narcotic Drugs & Psychotropic Substances Act,134,569,0.7
3,Gambling Act,10739,10919,13.9
4,Excise Act,1727,1988,2.5
5,Prohibition Act,16757,15390,19.5
6,Explosive & Explosive Substances Act,25,39,Neg.
7,Immoral Traffic (Prevention) Act,1320,1090,1.4
8,Motor Vehicles Act,6064,8927,11.3
9,Prevention of Corruption Act,1,4,Neg.
10,Customs Act,NA,NA,NA
11,Indian Railways Act,2355,3642,4.6
12,Other Offences Under Local & Special Laws,36126,34993,44.3
13,Total Cognizable Crimes Under Local & Special Laws,76492,78743,100
