SL. No.,Heads of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Pending Trial at the End of the year
1,Arms Act,187466,326,47397,29854,139743
2,Narcotic Drugs & Psychotropic Substances Act,38835,194,11981,7415,26660
3,Gambling Act,297224,501,154359,122039,142364
4,Excise Act,260513,572,83728,54282,176213
5,Prohibition Act,802097,34709,224085,125997,543303
6,Explosive & Explosive Substances Act,8036,90,1988,1173,5958
7,Immoral Traffic (Prevention) Act,18379,90,13479,12600,4810
8,Motor Vehicle Act,1415167,2596,905399,709602,507172
9,Prevention of Corruption Act,653,13,161,69,479
10,Customs Act,158,2,48,46,108
11,Indian Railways Act,42343,23,34829,34371,7491
12,Other Offences Under Local and Special Laws,1282295,5771,950268,809257,326256
13,Total Cognizable Crimes Under Local and Special Laws,4353166,44887,2427722,1906705,1880557
