SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completd During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder,69661,378,15766,6697,53517
2,Culpable Homicide Not Amounting to Murder,9907,175,2311,1054,7421
3,Rape,18317,167,4393,1633,13757
4,Kidnapping & Abduction,31261,354,5573,2020,25334
5,Dacoity,35995,137,6033,2173,29825
6,Robbery,46365,314,7711,3020,38340
7,Burglary,161174,6143,37006,19765,118025
8,Theft,447385,16520,99320,54502,331545
9,Riots,300168,17756,42635,14116,239777
10,Criminal Breach of Trust,52844,987,7577,3095,44280
11,Cheating,45195,1182,6971,3258,37042
12,Counterfeiting,904,16,182,79,706
13,Other IPC Offences,1687240,89557,356435,178554,1241248
14,Total Cognizable Crimes Under IPC,2906416,133686,591913,289966,2180817
