SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total True Cases in which Investigation was Completed
1,Arms Act,0.5,87.5,12,97.6
2,Narcotic Drugs & Psychotropic Substances Act,0.4,71.5,28.1,98.7
3,Gambling Act,0.1,97,2.9,99.5
4,Excise Act,0.8,81,18.2,99.4
5,Prohibition Act,5,61.6,33.4,89.5
6,Explosive & Explosive Substances Act,2.7,61.8,35.5,79.3
7,Immoral Traffic (Prevention) Act,0.1,97.5,2.4,99.1
8,Motor Vehicles Act,0.2,99.1,0.7,98.3
9,Prevention of Corruption Act,2.8,34.7,62.5,89.7
10,Customs Act,24.2,71.4,4.4,97.4
11,Indian Railways Act,0.9,97.3,1.8,95.9
12,Other Offences,3.5,91,5.5,97.8
13,Total Cognizable Crimes Under Local and Special Laws,2.2,88.2,9.6,97
