SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder,0.6,22.6,76.8,42.5
2,Culpable Homicide Not Amounting to Murder,1.8,23.3,74.9,45.6
3,Rape,0.9,24,75.1,37.2
4,Kidnapping & Abduction,1.1,17.8,81.1,36.2
5,Dacoity,0.4,16.8,82.8,36
6,Robbery,0.7,16.6,82.7,39.2
7,Burglary,3.8,23,73.2,53.4
8,Theft,3.7,22.2,74.1,54.9
9,Riots,5.9,14.2,79.9,33.1
10,Criminal Breach of Trust,1.9,14.3,83.8,40.8
11,Cheating,2.6,15.4,82,46.7
12,Counterfeiting,1.8,20.1,78.1,43.4
13,Other IPC Offences,5.3,21.1,73.6,50.1
14,Total Cognizable Crimes Under IPC,4.6,20.4,75,49
