SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total True Cases in which Investigation was Completed
1,Murder,2.6,67.5,29.9,81.7
2,Culpable Homicide Not Amounting to Murder,4,68.7,27.3,77.6
3,Rape,7.3,65.6,27.2,88.6
4,Kidnapping & Abduction,19.4,51.9,28.7,72.5
5,Dacoity,6.8,58.6,34.6,65.3
6,Robbery,14.8,62.8,22.4,60.8
7,Burglary,5.5,75.3,19.2,40.6
8,Theft,6.3,75.7,18,42.2
9,Riots,12.9,66.1,21,86.3
10,Criminal Breach of Trust,10,47.8,42.2,68.9
11,Cheating,11.6,49.3,39.1,67.7
12,Counterfeiting,24.4,39.1,36.5,31.9
13,Other IPC Offences,7.1,78.2,14.7,87.7
14,Total Cognizable Crimes Under IPC,7.5,74.1,18.4,71.1
