SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Persons released or freed by police or magistrate before trial for want of evidence or any other reason,Persons in whose cases chargesheets were laid during the year,Persons in custody or on bail during the stage of investigation at the end of the year,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation
1,Murder,84426,4129,61207,19090,72.5,22.6
2,Culpable Homicide Not Amounting to Murder,10839,664,7517,2658,69.4,24.5
3,Rape,14373,903,10217,3253,71.1,22.6
4,Kidnapping & Abduction,26053,3173,17537,5343,67.3,20.5
5,Dacoity,58795,11842,31614,15339,53.8,26.1
6,Robbery,38175,5410,25418,7347,66.6,19.2
7,Burglary,110623,11398,84604,14621,76.5,13.2
8,Theft,260876,35499,183963,41414,70.5,15.9
9,Riots,715232,46411,516311,152510,72.2,21.3
10,Criminal Breach of Trust,24808,1913,14358,8537,57.9,34.4
11,Cheating,29135,3070,16843,9222,57.8,31.7
12,Counterfeiting,1545,206,644,695,41.7,45
13,Total Cognizable Crimes Under IPC,2612513,187187,2004922,420404,76.7,16.1
