SL. No.,Year,7-12 Years,7-12 Years - Percentage of Total,12-16 Years,12-16 Years - Percentage to Total,16-18 Years,16-18 Years - Percentage to Total,18-21 Years,18-21 Years - Percentage to Total,Over All Age Group
1,1976,19706,14.7,24073,18,19960,14.9,70234,52.4,133973
2,1977,15113,10.1,21391,14.4,24011,16.1,88407,59.4,148922
3,1978,11955,7.4,18954,11.8,25488,15.8,104522,65,160919
4,1979,10539,6.2,18315,10.8,26226,15.4,114963,67.6,170043
5,1980,10457,5.6,20048,10.7,36899,19.7,120181,64,187585
6,1981,9485,5,17649,9.3,33969,17.8,129464,67.9,190567
7,1982,8272,4.9,15218,9.1,25618,15.2,119229,70.8,168337
8,1983,8290,4.8,16949,9.9,26153,15.2,120222,70.1,171614
9,1984,5846,3.6,12472,7.7,25054,15.4,118888,73.3,162260
10,1985,5991,3.6,11516,6.8,21172,12.6,129820,77,168499
11,1986,5138,3,12163,7.1,23940,14.1,128908,75.8,170149
12,Percentage Change in 1986 Over 1976,-73.9,NA,-49.5,NA,19.9,NA,83.5,NA,27
13,Percentage Change in 1986 Over 1985,-14.2,NA,5.6,NA,13.1,NA,-0.7,NA,1
