SL. No.,Category,States/U.Ts/Cities,Value of Property Stolen (Rs. in Lakhs),Value of Property Recovered (Rs. in Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,State,Andhra Pradesh,597.6,316.5,53
2,State,Arunachal Pradesh,31.33,13.13,41.9
3,State,Assam,235.2,26.26,11.2
4,State,Bihar,1039.12,87.2,8.4
5,State,Gujarat,1420.47,597.71,42.1
6,State,Haryana,434.79,297.69,68.5
7,State,Himachal Pradesh,135.47,83.99,62
8,State,Jammu & Kashmir,237.77,145.67,61.3
9,State,Karnataka,1215.72,444.14,36.5
10,State,Kerala,644.85,140.1,21.7
11,State,Madhya Pradesh,1156.61,318.72,27.6
12,State,Maharashtra,5256.24,1676.48,31.9
13,State,Manipur,61.26,15.26,24.9
14,State,Meghalaya,30.01,13.59,45.3
15,State,Mizoram,16.27,7.67,47.1
16,State,Nagaland,71.78,17.69,24.6
17,State,Orissa,444.1,143.01,32.2
18,State,Punjab,824.96,513.68,62.3
19,State,Rajasthan,791.74,504.15,63.7
20,State,Sikkim,10.44,3.69,35.3
21,State,Tamil Nadu,1399.27,659.25,47.1
22,State,Tripura,23.24,4.33,18.6
23,State,Uttar Pradesh,3416.52,780.03,22.8
24,State,West Bengal,629.91,157.8,25.1
Total (States),State,Total (States),20124.67,6967.74,34.6
25,UT,A & N Islands,8.84,4.1,46.4
26,UT,Chandigarh,68.23,38.64,56.6
27,UT,D & N Haveli,33.87,0.86,2.5
28,UT,Delhi,1338.42,565.13,42.2
29,UT,"Goa, Daman & Diu",331.14,31.73,9.6
30,UT,Lakshadweep,0.23,0.05,21.7
31,UT,Pondicherry,19.16,6.36,33.2
Total (UTs),UT,Total (UTs),1799.89,646.87,35.9
All India,All India,All India,21924.56,7614.61,34.7
1,City,Ahmedabad,269.53,47.89,17.8
2,City,Bangalore,376.75,153.62,40.8
3,City,Bombay,2875.25,1106.99,38.5
4,City,Calcutta,271.9,96.86,35.6
5,City,Delhi,1134.41,527.95,46.5
6,City,Hyderabad,163.83,72.52,44.3
7,City,Jaipur,74.59,48.83,65.5
8,City,Kanpur,285.83,47.31,16.6
9,City,Lucknow,143.01,24.1,16.9
10,City,Madras,733.26,328.99,44.9
11,City,Nagpur,135.58,47.72,35.2
12,City,Pune,261.12,70.71,27.1
Total (Cities),City,Total (Cities),6725.06,2573.49,38.3
