SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed,Persons in custody or on bail at the end of the year,Number of persons convicted during the year,Percentage of persons in custody pendind trial to number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder,211510,1086,53921,156503,20089,74,37.3
2,Culpable Homicide Not Amounting to Murder,25087,225,5778,19084,2624,76.1,45.4
3,Rape,31152,3470,6949,20733,2695,66.6,38.8
4,Kidnapping & Abduction,65698,665,12335,52698,4822,80.2,39.1
5,Dacoity,160502,1152,28260,131090,10731,81.7,38
6,Robbery,105098,582,19002,85514,8033,81.4,42.3
7,Burglary,301793,6124,69384,226285,33174,75,47.8
8,Theft,652154,18005,143240,490909,72098,75.3,50.3
9,Riot,2058466,112551,363400,1582505,114435,76.9,31.5
10,Criminal Breach of Trust,68940,1102,9173,58665,3794,85.1,41.4
11,Cheating,66121,1358,10461,54393,4395,82.1,42
12,Counterfeiting,1887,11,478,1398,112,74.1,23.4
13,Total Cognizable Crimes Under IPC,6910979,324054,1367556,5219369,593729,75.5,43.4
