SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Persons released or freed by police or magistrate before trial for want of evidence or any other reason,Persons in whose cases chargesheets were laid during the year,Persons in custody or on bail during the stage of investigation at the end of the year,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation
1,Arms Act,67996,1269,58282,8445,85.7,12.4
2,Narcotic Drugs & Psychotropic Substances Act,16995,187,12482,4326,73.4,25.5
3,Gambling Act,316550,1178,303338,12034,95.8,3.8
4,Excise Act,122689,1753,99758,21178,81.3,17.3
5,Prohibition Act,617418,36584,342249,238585,55.4,38.6
6,Explosive & Explosive Substances Act,7237,570,3616,3051,50,42.2
7,Immoral Traffic (Prevention) Act,17712,93,16561,1058,93.5,6
8,Motor Vehicles Act,1224666,11178,1201804,11684,98.1,1
9,Prevention of Corruption Act,497,11,145,341,29.2,68.6
10,Customs Act,159,57,68,34,42.8,21.4
11,Indian Railways Act,48682,147,47834,701,98.3,1.4
12,Other Offences under Local & Special Laws,1278986,72050,1174708,32228,91.8,2.5
13,Total Cognizable Crimes Under Local & Special Laws,3719587,125077,3260845,333665,87.7,9
